feature,importance
macd,0.053054903
return_21d,0.05159398
volume_ratio,0.048630353
volatility_21d,0.04780048
ma_spread,0.04724379
return_1d,0.045986217
vix_change_1d,0.04565842
atr_ratio,0.045657687
bollinger_upper,0.04520902
atr,0.044114087
vix_ma5,0.04376943
rsi,0.04367078
vix_close,0.043073554
ma21,0.042978946
bollinger_lower,0.041539434
stochastic_oscillator,0.041075688
rsi_slope,0.04016704
price_to_sma200,0.0395521
mean_sentiment_score,0.03926329
return_5d,0.038449176
sma200,0.037592996
Close_FFD,0.037242845
ma7,0.03667572
positive,0.0
negative,0.0
neutral,0.0
