feature,importance
atr,0.048522897
stochastic_oscillator,0.0474965
volatility_21d,0.045926202
Close_FFD,0.045872465
rsi,0.04550152
atr_ratio,0.045204222
ma_spread,0.044582874
bollinger_lower,0.043719485
ma7,0.043635327
return_5d,0.043469325
return_21d,0.043441936
vix_ma5,0.04336319
vix_close,0.042862672
price_to_sma200,0.04206815
vix_change_1d,0.041614275
macd,0.040238168
sma200,0.040075306
volume_ratio,0.039999187
return_1d,0.039306924
neutral,0.03863355
rsi_slope,0.03754624
ma21,0.032733202
mean_sentiment_score,0.032103065
bollinger_upper,0.0320833
negative,0.0
positive,0.0
