feature,importance
neutral,0.050222434
vix_ma5,0.048262455
ma_spread,0.047290698
return_1d,0.04720288
return_5d,0.047003318
Close_FFD,0.04656811
vix_close,0.046278317
rsi,0.04601184
mean_sentiment_score,0.0456108
bollinger_lower,0.044697996
rsi_slope,0.043925088
atr,0.043212406
return_21d,0.043177612
macd,0.041895516
bollinger_upper,0.040620327
vix_change_1d,0.040058494
volume_ratio,0.039153494
atr_ratio,0.039074227
ma7,0.037021514
stochastic_oscillator,0.036187105
price_to_sma200,0.03580883
volatility_21d,0.032771442
sma200,0.03108217
ma21,0.026862908
negative,0.0
positive,0.0
