feature,importance
return_21d,0.059812758
ma_spread,0.05513676
atr,0.052982517
ma21,0.051654764
volume_ratio,0.05149035
bollinger_lower,0.050154336
sma200,0.050054345
macd,0.04991471
rsi,0.04944471
vix_close,0.047489423
price_to_sma200,0.047025725
atr_ratio,0.04596879
rsi_slope,0.045195296
volatility_21d,0.044647586
stochastic_oscillator,0.04416954
ma7,0.043976452
return_1d,0.04381359
vix_ma5,0.04304509
vix_change_1d,0.041842442
return_5d,0.041586697
bollinger_upper,0.040594127
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
