feature,importance
return_21d,0.05269274
price_to_sma200,0.051559143
atr,0.05136533
sma200,0.04995589
ma_spread,0.048480336
Close_FFD,0.048470035
bollinger_lower,0.047778364
macd,0.046755172
ma21,0.04560925
vix_close,0.04548011
bollinger_upper,0.044803217
stochastic_oscillator,0.044753235
volatility_21d,0.04446859
return_5d,0.04414191
ma7,0.04336895
rsi,0.043139655
vix_ma5,0.043043934
vix_change_1d,0.041917767
atr_ratio,0.040807772
return_1d,0.04067504
rsi_slope,0.040651705
volume_ratio,0.040081862
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
