feature,importance
vix_ma5,0.054479323
price_to_sma200,0.05200394
volume_ratio,0.05037051
bollinger_lower,0.04819393
positive,0.048190705
ma21,0.047545012
ma_spread,0.04734657
return_21d,0.04626827
atr_ratio,0.045530327
rsi,0.04405467
stochastic_oscillator,0.04370619
vix_close,0.04257926
mean_sentiment_score,0.04227917
macd,0.04134758
rsi_slope,0.040853057
bollinger_upper,0.040670358
return_1d,0.04019056
return_5d,0.039999817
ma7,0.03967057
vix_change_1d,0.039260797
volatility_21d,0.03800689
sma200,0.03624486
atr,0.031207647
negative,0.0
neutral,0.0
