,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-12 00:00:00+00:00,9.69,10.0,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-13 00:00:00+00:00,9.92,9.88,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9880.0
2016-09-14 00:00:00+00:00,9.9,9.8,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9800.0
2016-09-15 00:00:00+00:00,9.74,9.79,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9790.0
2016-09-16 00:00:00+00:00,9.71,9.73,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9729.999
2016-09-19 00:00:00+00:00,9.78,9.72,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9720.0
2016-09-20 00:00:00+00:00,9.76,9.71,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9710.0
2016-09-21 00:00:00+00:00,9.75,9.73,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9729.999
2016-09-22 00:00:00+00:00,9.81,9.88,,,,0.5429447852760736,10000.0,0.0,0.0,10000.0,0,0.0,9880.0
2016-09-23 00:00:00+00:00,9.86,9.9,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9899.999
2016-09-26 00:00:00+00:00,9.82,9.61,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9610.0
2016-09-27 00:00:00+00:00,9.6,9.74,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9740.0
2016-09-28 00:00:00+00:00,9.91,9.92,,,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9920.001
2016-09-29 00:00:00+00:00,9.92,9.71,,46.2963,,0.5555555555555556,10000.0,0.0,0.0,10000.0,0,0.0,9710.001
2016-09-30 00:00:00+00:00,9.78,9.86,,38.75969,0.2042857,0.5555555555555556,-10.0,9995.002498750626,0.0,9985.002498750626,1,,9860.001
2016-10-03 00:00:00+00:00,9.83,9.8,,45.138874,0.19714281,0.5429447852760736,-10.0,9934.181335388215,0.0,9924.181335388215,0,,9800.001
2016-10-04 00:00:00+00:00,9.86,9.88,,47.10145,0.19214283,0.5555555555555556,-10.0,10015.276180860159,0.0,10005.276180860159,0,,9880.0
2016-10-05 00:00:00+00:00,9.93,10.14,,52.89855,0.19357143,0.5429447852760736,-10.0,10278.836268869209,0.0,10268.836268869209,0,,10140.001
2016-10-06 00:00:00+00:00,10.13,10.16,,60.736214,0.205,0.5555555555555556,-10.0,10299.109399532656,0.0,10289.109399532656,0,,10160.0
2016-10-07 00:00:00+00:00,10.17,10.17,,63.522038,0.20142855,0.5429447852760736,-10.0,10309.24692727408,0.0,10299.24692727408,0,,10170.001
2016-10-10 00:00:00+00:00,10.21,10.16,,64.15095,0.2042857,0.5555555555555556,-10.0,10299.109867194551,0.0,10289.109867194551,0,,10160.0
2016-10-11 00:00:00+00:00,10.05,10.02,,64.15095,0.20214285,0.5429447852760736,-10.0,10157.193680491828,0.0,10147.193680491828,0,,10020.001
2016-10-12 00:00:00+00:00,10.05,9.97,,58.479565,0.2078572,0.5429447852760736,-10.0,10106.50886498149,0.0,10096.50886498149,0,,9970.001
2016-10-13 00:00:00+00:00,9.85,9.72,,52.795036,0.2064286,0.5429447852760736,-10.0,9853.08616198793,0.0,9843.08616198793,0,,9720.001
2016-10-14 00:00:00+00:00,9.83,9.82,,45.10871,0.22357151,0.5429447852760736,-10.0,9954.454713474886,0.0,9944.454713474886,0,,9820.001
2016-10-17 00:00:00+00:00,9.84,9.66,,56.363644,0.21857145,0.5429447852760736,-10.0,9792.263923140146,0.0,9782.263923140146,0,,9660.0
2016-10-18 00:00:00+00:00,9.75,9.8,,47.61905,0.21785723,0.5429447852760736,-10.0,9934.180757755834,0.0,9924.180757755834,0,,9800.0
2016-10-19 00:00:00+00:00,9.84,10.03,,46.341465,0.21642868,0.5555555555555556,-10.0,10167.329313116054,0.0,10157.329313116054,0,,10030.0
2016-10-20 00:00:00+00:00,10.01,10.14,,59.638557,0.21571438,0.5429447852760736,-10.0,10278.835790648127,0.0,10268.835790648127,0,,10140.001
2016-10-21 00:00:00+00:00,9.98,10.06,,58.642002,0.21285725,0.5429447852760736,-10.0,10197.740821101728,0.0,10187.740821101728,0,,10060.0
2016-10-24 00:00:00+00:00,10.15,10.1,,57.926838,0.21428585,0.5429447852760736,-10.0,10238.288126131005,0.0,10228.288126131005,0,,10100.0
2016-10-25 00:00:00+00:00,10.1,10.19,,56.87501,0.20857151,0.5429447852760736,-10.0,10329.519209898439,0.0,10319.519209898439,0,,10189.998
2016-10-26 00:00:00+00:00,10.24,10.7,,51.748226,0.20000008,0.5429447852760736,-10.0,10846.502004197824,0.0,10836.502004197824,0,,10699.998
2016-10-27 00:00:00+00:00,10.78,10.75,,64.06251,0.23357153,0.5429447852760736,-10.0,10897.186460076862,0.0,10887.186460076862,0,,10749.998
2016-10-28 00:00:00+00:00,10.76,10.56,,64.79592,0.23214293,0.5429447852760736,-10.0,10704.585374804597,0.0,10694.585374804597,0,,10559.999
2016-10-31 00:00:00+00:00,10.51,10.6,,59.345814,0.24571432,0.5429447852760736,-10.0,10745.133008009583,0.0,10735.133008009583,0,,10599.998
2016-11-01 00:00:00+00:00,10.65,10.56,,64.21569,0.23714283,0.5429447852760736,-10.0,10704.585495791996,0.0,10694.585495791996,0,,10559.999
2016-11-02 00:00:00+00:00,10.53,10.33,,64.532036,0.24642856,0.5429447852760736,-10.0,10471.43564516366,0.0,10461.43564516366,0,,10329.997
2016-11-03 00:00:00+00:00,10.33,10.25,,65.174126,0.24071428,0.5429447852760736,-10.0,10390.340329148408,0.0,10380.340329148408,0,,10249.997
2016-11-04 00:00:00+00:00,10.26,10.16,,60.804028,0.23928581,0.5429447852760736,-10.0,10299.108159605648,0.0,10289.108159605648,0,,10159.998
2016-11-07 00:00:00+00:00,10.39,10.45,,63.020832,0.24428585,0.5555555555555556,-10.0,10593.079240222101,0.0,10583.079240222101,0,,10449.998
2016-11-08 00:00:00+00:00,10.54,10.25,,65.70048,0.26071438,0.5510190241836378,-10.0,10390.340908746895,0.0,10380.340908746895,0,,10249.999
2016-11-09 00:00:00+00:00,10.45,10.91,,55.392162,0.27071443,0.5429447852760736,-10.0,11059.37685604759,0.0,11049.37685604759,0,,10909.998
2016-11-10 00:00:00+00:00,11.03,11.6,,64.86486,0.30928585,0.5429447852760736,-10.0,11758.82515065142,0.0,11748.82515065142,0,,11600.0
2016-11-11 00:00:00+00:00,11.58,11.7,,74.0625,0.3492858,0.5429447852760736,-10.0,11860.193511262545,0.0,11850.193511262545,0,,11699.998
2016-11-14 00:00:00+00:00,11.84,11.96,,74.53987,0.35928583,0.5429447852760736,-10.0,12123.75405828161,0.0,12113.75405828161,0,,11959.999
2016-11-15 00:00:00+00:00,11.93,11.96,,75.80175,0.38071442,0.5429447852760736,-10.0,12123.75405828161,0.0,12113.75405828161,0,,11959.999
2016-11-16 00:00:00+00:00,11.83,11.93,,71.57535,0.36142868,0.5429447852760736,-10.0,12093.343533553629,0.0,12083.343533553629,0,,11929.998
2016-11-17 00:00:00+00:00,11.98,12.23,,70.34483,0.3621429,0.5429447852760736,-10.0,12397.450049400533,0.0,12387.450049400533,0,,12229.997
2016-11-18 00:00:00+00:00,12.3,12.5,,77.74085,0.3664287,0.5429447852760736,-10.0,12671.146634632396,0.0,12661.146634632396,0,,12499.996
2016-11-21 00:00:00+00:00,12.59,12.44,,79.320984,0.37857166,0.5429447852760736,-10.0,12610.324856476022,0.0,12600.324856476022,0,,12439.996
2016-11-22 00:00:00+00:00,12.59,12.52,,78.83434,0.37214306,0.5429447852760736,-10.0,12691.421648104897,0.0,12681.421648104897,0,,12519.997
2016-11-23 00:00:00+00:00,12.57,12.61,,85.20901,0.36285734,0.5429447852760736,-10.0,12782.653163131272,0.0,12772.653163131272,0,,12609.997
2016-11-25 00:00:00+00:00,12.67,12.56,,87.82051,0.36214304,0.5429447852760736,-10.0,12731.96968538873,0.0,12721.96968538873,0,,12559.998
2016-11-28 00:00:00+00:00,12.44,12.26,,88.96106,0.35285732,0.5448896791947891,-10.0,12427.861887526093,0.0,12417.861887526093,0,,12259.998
