feature,importance
bollinger_upper,0.072916165
bollinger_lower,0.07031684
ma21,0.054673076
return_5d,0.05454445
volume_ratio,0.052713916
volatility_21d,0.051957276
vix_ma5,0.05061848
rsi_slope,0.048712015
return_21d,0.048341945
vix_close,0.04361459
mean_sentiment_score,0.042858712
return_1d,0.04201346
ma7,0.039267223
neutral,0.039077766
macd,0.038473904
Close_FFD,0.037869323
atr,0.03695173
vix_change_1d,0.036818493
atr_ratio,0.03622714
ma_spread,0.03468184
stochastic_oscillator,0.03418136
rsi,0.03317031
sma200,0.0
price_to_sma200,0.0
negative,0.0
positive,0.0
