feature,importance
price_to_sma200,0.052587222
vix_ma5,0.050804008
return_21d,0.050736684
rsi,0.049962413
ma21,0.04861666
sma200,0.04793931
stochastic_oscillator,0.047648296
macd,0.04745169
Close_FFD,0.04643013
return_5d,0.046176616
ma7,0.04554425
volume_ratio,0.045438915
volatility_21d,0.04512531
return_1d,0.044943523
bollinger_upper,0.04466988
vix_close,0.041967675
ma_spread,0.04189257
atr_ratio,0.041526046
atr,0.040611953
rsi_slope,0.040388163
vix_change_1d,0.040090345
bollinger_lower,0.039448366
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
