feature,importance
bollinger_lower,0.048899718
vix_ma5,0.048524827
vix_change_1d,0.048286933
return_21d,0.048081476
stochastic_oscillator,0.04708748
rsi_slope,0.046775572
sma200,0.046017315
Close_FFD,0.04545985
return_1d,0.045230083
vix_close,0.044970468
ma_spread,0.044945285
atr_ratio,0.043818094
bollinger_upper,0.043614876
rsi,0.042624414
atr,0.04223611
volatility_21d,0.04201439
macd,0.041247122
ma21,0.04103615
ma7,0.040834364
return_5d,0.039128363
mean_sentiment_score,0.037380148
volume_ratio,0.037069317
price_to_sma200,0.034717627
positive,0.0
negative,0.0
neutral,0.0
