feature,importance
bollinger_upper,0.053476345
price_to_sma200,0.052514296
ma21,0.049854465
return_5d,0.048981648
atr,0.047899738
rsi,0.04756982
vix_change_1d,0.046722285
vix_close,0.04596627
stochastic_oscillator,0.045886435
ma7,0.04538954
rsi_slope,0.044714496
return_21d,0.04442895
volatility_21d,0.04422855
Close_FFD,0.04404331
return_1d,0.043532215
ma_spread,0.04272111
bollinger_lower,0.0424976
volume_ratio,0.042410478
atr_ratio,0.0420727
sma200,0.041953754
macd,0.04163274
vix_ma5,0.041503254
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
