feature,importance
vix_ma5,0.052144296
ma7,0.04831391
ma21,0.04752813
vix_close,0.046194203
Close_FFD,0.046130653
volatility_21d,0.04530321
rsi,0.04470261
sma200,0.044430263
vix_change_1d,0.04411343
bollinger_upper,0.043505087
bollinger_lower,0.043478016
macd,0.043126404
rsi_slope,0.042675693
atr_ratio,0.042470843
price_to_sma200,0.04231558
volume_ratio,0.04225198
return_21d,0.041841317
stochastic_oscillator,0.041789103
mean_sentiment_score,0.039347667
return_1d,0.03813208
atr,0.038107697
return_5d,0.03761294
ma_spread,0.03346974
neutral,0.0110151665
negative,0.0
positive,0.0
