,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-12 00:00:00+00:00,96.58,97.48,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-13 00:00:00+00:00,97.25,96.01,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9849.199
2016-09-14 00:00:00+00:00,96.44,95.98,,,,0.5769230769230769,10000.0,0.0,0.0,10000.0,0,0.0,9846.122
2016-09-15 00:00:00+00:00,95.6,96.01,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9849.199
2016-09-16 00:00:00+00:00,96.08,95.48,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9794.83
2016-09-19 00:00:00+00:00,95.89,95.45,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9791.752
2016-09-20 00:00:00+00:00,95.51,95.52,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9798.933
2016-09-21 00:00:00+00:00,95.4,96.36,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9885.1045
2016-09-22 00:00:00+00:00,96.36,96.16,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9864.589
2016-09-23 00:00:00+00:00,95.79,95.85,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9832.786
2016-09-26 00:00:00+00:00,95.46,95.33,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9779.442
2016-09-27 00:00:00+00:00,95.75,94.7,,,,0.6746008650067148,10000.0,0.0,0.0,10000.0,0,0.0,9714.813
2016-09-28 00:00:00+00:00,94.98,95.13,,,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9758.925
2016-09-29 00:00:00+00:00,95.36,94.64,,26.915514,,0.8,10000.0,0.0,0.0,10000.0,0,0.0,9708.658
2016-09-30 00:00:00+00:00,94.96,95.6,,24.55198,1.3371419,0.8,-10.0,9995.002498750626,0.0,9985.002498750626,1,,9807.14
2016-10-03 00:00:00+00:00,95.3,95.41,,35.626892,1.3099997,0.8,-10.0,9975.138454065509,0.0,9965.138454065509,0,,9787.648
2016-10-04 00:00:00+00:00,95.22,95.03,,44.296597,1.255,0.8,-10.0,9935.409053988697,0.0,9925.409053988697,0,,9748.666
2016-10-05 00:00:00+00:00,95.01,94.71,,41.532948,1.2607144,0.8,-10.0,9901.952911175425,0.0,9891.952911175425,0,,9715.839
2016-10-06 00:00:00+00:00,94.46,95.11,,38.983044,1.2342862,0.8,-10.0,9943.773471832215,0.0,9933.773471832215,0,,9756.873
2016-10-07 00:00:00+00:00,95.36,95.21,,46.793743,1.2200006,0.8,-10.0,9954.228613140709,0.0,9944.228613140709,0,,9767.132
2016-10-10 00:00:00+00:00,95.21,95.59,,47.945225,1.240715,0.8,-10.0,9993.957203863742,0.0,9983.957203863742,0,,9806.114
2016-10-11 00:00:00+00:00,95.74,94.63,,50.569103,1.2935725,0.8,-10.0,9893.5888330212,0.0,9883.5888330212,0,,9707.632
2016-10-12 00:00:00+00:00,94.69,94.95,,36.204113,1.2978586,0.8,-10.0,9927.045091130569,0.0,9917.045091130569,0,,9740.459
2016-10-13 00:00:00+00:00,94.64,95.65,,40.53203,1.2457161,0.8,-10.0,10000.231032900154,0.0,9990.231032900154,0,,9812.27
2016-10-14 00:00:00+00:00,95.95,96.43,,48.525097,1.1571448,0.8,-10.0,10081.780415618668,0.0,10071.780415618668,0,,9892.287
2016-10-17 00:00:00+00:00,96.4,96.74,,57.81249,1.1985735,0.8,-10.0,10114.190485616931,0.0,10104.190485616931,0,,9924.088
2016-10-18 00:00:00+00:00,97.24,96.31,,65.1786,1.1535732,0.8,-10.0,10069.233948901667,0.0,10059.233948901667,0,,9879.976
2016-10-19 00:00:00+00:00,96.2,95.63,,58.779774,1.1771448,0.8,-10.0,9998.139842665501,0.0,9988.139842665501,0,,9810.218
2016-10-20 00:00:00+00:00,95.69,95.12,,57.16352,1.1664304,0.8,-10.0,9944.819699076552,0.0,9934.819699076552,0,,9757.9
2016-10-21 00:00:00+00:00,95.02,95.36,,46.28486,1.1092873,0.8,-10.0,9969.911121745361,0.0,9959.911121745361,0,,9782.52
2016-10-24 00:00:00+00:00,95.7,95.29,,49.61595,1.1542871,0.8,-10.0,9962.592895916696,0.0,9952.592895916696,0,,9775.34
2016-10-25 00:00:00+00:00,95.5,95.81,,52.096794,1.1578581,0.8,-10.0,10016.959200194638,0.0,10006.959200194638,0,,9828.684
2016-10-26 00:00:00+00:00,95.9,96.15,,58.593758,1.1671437,0.8,-10.0,10052.506797415845,0.0,10042.506797415845,0,,9863.563
2016-10-27 00:00:00+00:00,96.68,95.51,,58.201916,1.1678575,0.8,-10.0,9985.594405986027,0.0,9975.594405986027,0,,9797.908
2016-10-28 00:00:00+00:00,97.7,102.4,,52.18026,1.2378578,0.8,-10.0,10705.945447828108,0.0,10695.945447828108,0,,10504.72
2016-10-31 00:00:00+00:00,102.44,102.46,,75.42946,1.7035719,0.5769230769230769,-10.0,10712.218207489313,0.0,10702.218207489313,0,,10510.875
2016-11-01 00:00:00+00:00,102.6,101.99,,81.34511,1.7050002,0.5769230769230769,-10.0,10663.079404409686,0.0,10653.079404409686,0,,10462.659
2016-11-02 00:00:00+00:00,101.9,101.84,,77.84812,1.7421428,0.8,-10.0,10647.396737851432,0.0,10637.396737851432,0,,10447.272
2016-11-03 00:00:00+00:00,101.72,100.68,,75.59967,1.7114279,0.5769230769230769,-10.0,10526.118757690321,0.0,10516.118757690321,0,,10328.273
2016-11-04 00:00:00+00:00,100.8,100.0,,67.04092,1.7057135,0.5769230769230769,-10.0,10455.02429559198,0.0,10445.02429559198,0,,10258.516
2016-11-07 00:00:00+00:00,100.56,101.6,,62.694725,1.7407134,0.5769230769230769,-10.0,10622.305023324849,0.0,10612.305023324849,0,,10422.653
2016-11-08 00:00:00+00:00,101.66,101.19,,68.879395,1.7799988,0.8,-10.0,10579.439632726422,0.0,10569.439632726422,0,,10380.594
2016-11-09 00:00:00+00:00,99.32,100.46,,70.23294,1.8185703,0.5769230769230769,-10.0,10503.117560190227,0.0,10493.117560190227,0,,10305.706
2016-11-10 00:00:00+00:00,100.22,97.27,,69.126076,1.9685701,0.8,-10.0,10169.602013965608,0.0,10159.602013965608,0,,9978.46
2016-11-11 00:00:00+00:00,97.18,97.25,,55.647537,2.12357,0.5769230769230769,-10.0,10167.511383592479,0.0,10157.511383592479,0,,9976.408
2016-11-14 00:00:00+00:00,97.12,98.92,,55.812572,2.1999986,0.8,-10.0,10342.11009917412,0.0,10332.11009917412,0,,10147.726
2016-11-15 00:00:00+00:00,98.93,99.13,,58.634098,2.325713,0.5769230769230769,-10.0,10364.065147812236,0.0,10354.065147812236,0,,10169.268
2016-11-16 00:00:00+00:00,99.2,99.3,,58.333324,2.3278563,0.8,-10.0,10381.838947853486,0.0,10371.838947853486,0,,10186.708
2016-11-17 00:00:00+00:00,99.09,99.16,,60.884556,2.2442844,0.8,-10.0,10367.201714925655,0.0,10357.201714925655,0,,10172.346
