,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,119.39,119.67,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,118.74,117.92,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9853.765
2020-07-29 00:00:00+00:00,118.53,120.74,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10089.413
2020-07-30 00:00:00+00:00,119.05,119.59,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9993.315
2020-07-31 00:00:00+00:00,120.73,121.57,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10158.771
2020-08-03 00:00:00+00:00,122.32,123.17,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10292.473
2020-08-04 00:00:00+00:00,122.96,123.44,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10315.035
2020-08-05 00:00:00+00:00,125.42,125.55,,,,0.9466400988693107,10000.0,0.0,0.0,10000.0,0,0.0,10491.354
2020-08-06 00:00:00+00:00,125.81,126.45,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10566.56
2020-08-07 00:00:00+00:00,126.81,128.23,,,,0.631578947368421,10000.0,0.0,0.0,10000.0,0,0.0,10715.302
2020-08-10 00:00:00+00:00,128.98,130.27,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10885.771
2020-08-11 00:00:00+00:00,131.63,130.18,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10878.251
2020-08-12 00:00:00+00:00,131.35,132.47,,,,0.9603803071969951,10000.0,0.0,0.0,10000.0,0,0.0,11069.611
2020-08-13 00:00:00+00:00,132.01,132.24,,84.078804,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,11050.393
2020-08-14 00:00:00+00:00,132.11,131.86,,83.06155,2.1442857,0.631578947368421,10000.0,0.0,0.0,10000.0,0,0.0,11018.638
2020-08-17 00:00:00+00:00,132.06,132.05,,81.43373,2.1664286,0.99,10000.0,0.0,0.0,10000.0,0,0.0,11034.514
2020-08-18 00:00:00+00:00,132.07,130.45,,89.62423,2.0978572,0.9030349653143968,10000.0,0.0,0.0,10000.0,0,0.0,10900.8125
2020-08-19 00:00:00+00:00,130.74,130.73,,79.22938,1.9785714,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10924.209
2020-08-20 00:00:00+00:00,129.54,128.88,,85.38755,1.8507143,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10769.619
2020-08-21 00:00:00+00:00,129.19,129.85,,73.414474,1.7942857,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10850.675
2020-08-24 00:00:00+00:00,129.89,131.5,,72.296394,1.7121428,0.99,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,127.15857696533203,10988.554
2020-08-25 00:00:00+00:00,132.52,131.52,,74.633255,1.7142857,0.99,-5015.992063492064,14994.784273665171,5000.0,4978.792210173107,0,128.93179321289062,10990.225
2020-08-26 00:00:00+00:00,131.56,132.59,,70.91801,1.6992857,0.9333722027106288,-5016.984126984127,15116.775198445606,5000.0,5099.791071461479,0,128.94857788085938,11079.637
2020-08-27 00:00:00+00:00,133.69,132.87,,71.26039,1.7107143,0.99,-5017.976190476191,15148.69869190727,5000.0,5130.722501431079,0,130.0410614013672,11103.035
2020-08-28 00:00:00+00:00,131.62,132.28,,67.9289,1.6364286,0.99,-5018.968253968254,15081.432003849506,5000.0,5062.463749881252,0,130.30392456054688,11053.732
2020-08-31 00:00:00+00:00,131.39,131.63,,58.746735,1.5814285,0.99,-5019.960317460318,15007.325657900014,5000.0,4987.3653404396955,0,130.30392456054688,10999.417
2020-09-01 00:00:00+00:00,130.65,132.71,,56.016598,1.5235714,0.631578947368421,-5020.952380952382,15130.458030166817,5000.0,5109.505649214436,0,130.30392456054688,11089.666
2020-09-02 00:00:00+00:00,133.37,135.09,,51.10701,1.51,0.6372149517693969,-5021.944444444445,15401.803523435816,5000.0,5379.859078991371,0,130.42465209960938,11288.545
2020-09-03 00:00:00+00:00,135.05,132.71,,60.96998,1.5871428,0.537037037037037,10084.825101323519,0.0,0.0,10084.825101323519,-1,0.0,11089.666
2020-09-04 00:00:00+00:00,132.49,130.72,,52.835224,1.7214285,0.631578947368421,-10.084825101323077,10079.785208719159,0.0,10069.700383617836,1,130.3292999267578,10923.375
2020-09-08 00:00:00+00:00,129.15,125.84,,46.03931,1.7985715,0.99,9678.849028432678,0.0,0.0,9678.849028432678,-1,0.0,10515.586
2020-09-09 00:00:00+00:00,127.52,128.1,,38.515198,2.0314286,0.99,-4853.94278775899,14511.018033632203,4839.42451421634,4817.650731656873,1,123.14213562011719,10704.439
2020-09-10 00:00:00+00:00,128.55,127.24,,44.03628,2.1585715,0.99,-4854.90299103562,14413.597310419354,4839.42451421634,4719.269805167394,0,125.05286407470703,10632.574
2020-09-11 00:00:00+00:00,127.95,127.55,,46.10636,2.1764286,0.99,-4855.863194312251,14448.714591120795,4839.42451421634,4753.4268825922045,0,125.05286407470703,10658.4795
2020-09-14 00:00:00+00:00,128.43,129.6,,44.362743,2.2242856,0.99,-4856.823397588882,14680.936557783045,4839.42451421634,4984.688645977823,0,125.05286407470703,10829.785
2020-09-15 00:00:00+00:00,130.51,130.18,,45.432693,2.272143,0.8870417697149944,-4857.783600865512,14746.637212684995,4839.42451421634,5049.4290976031425,0,126.26358032226562,10878.251
2020-09-16 00:00:00+00:00,129.98,129.7,,46.863297,2.2485714,0.7960033422622064,-4858.743804142143,14692.264247708166,4839.42451421634,4994.0959293496835,0,126.77178192138672,10838.142
2020-09-17 00:00:00+00:00,127.36,129.5,,43.04285,2.2571428,0.99,-4859.7040074187735,14669.609185265852,4839.42451421634,4970.4806636307385,0,126.77178192138672,10821.43
2020-09-18 00:00:00+00:00,130.1,126.11,,41.85597,2.3657143,0.99,-4860.664210695404,14285.59424206852,4839.42451421634,4585.5055171567765,0,126.77178192138672,10538.15
2020-09-21 00:00:00+00:00,123.54,121.9,,36.866753,2.5807142,0.99,8926.352967671495,0.0,0.0,8926.352967671495,-1,0.0,10186.35
2020-09-22 00:00:00+00:00,122.6,123.36,,32.014786,2.8585715,0.99,-4476.5660132872545,13382.838032490998,4463.176483835747,4443.0955353679965,1,118.0289306640625,10308.352
2020-09-23 00:00:00+00:00,124.0,119.71,,32.956615,2.805,0.99,-4477.451564176905,12986.863643055181,4463.176483835747,4046.23559504253,0,119.0721435546875,10003.347
2020-09-24 00:00:00+00:00,119.59,120.49,,23.205574,2.9507143,0.99,-4478.337115066555,13071.482687478536,4463.176483835747,4129.969088576234,0,119.0721435546875,10068.525
2020-09-25 00:00:00+00:00,120.56,121.23,,27.453875,2.8978572,0.99,-4479.222665956206,13151.763323796135,4463.176483835747,4209.364174004182,0,119.0721435546875,10130.362
2020-09-28 00:00:00+00:00,124.61,124.19,,31.6441,2.88,0.99,-4480.108216845856,13472.882651815744,4463.176483835747,4529.597951134141,0,119.0721435546875,10377.71
2020-09-29 00:00:00+00:00,124.3,124.04,,46.552444,2.8721428,0.900170609499046,-4480.9937677355065,13456.60971987898,4463.176483835747,4512.439468307726,0,119.87000274658203,10365.175
2020-09-30 00:00:00+00:00,125.17,124.21,,40.69661,2.8364286,0.99,-4481.879318625157,13475.052665591718,4463.176483835747,4529.996863130815,0,119.87000274658203,10379.381
2020-10-01 00:00:00+00:00,125.17,123.44,,42.8301,2.8457143,0.9252761076773561,-4482.764869514807,13391.518374057005,4463.176483835747,4445.577020706451,0,119.95535278320312,10315.038
2020-10-02 00:00:00+00:00,121.75,124.62,,40.481705,2.9414287,0.99,-4483.650420404458,13519.531563718181,4463.176483835747,4572.704659477977,0,119.95535278320312,10413.642
2020-10-05 00:00:00+00:00,127.05,127.06,,37.982624,3.115,0.99,-4484.535971294108,13784.237634341924,4463.176483835747,4836.525179212069,0,120.2078628540039,10617.536
2020-10-06 00:00:00+00:00,127.26,126.32,,43.091232,3.2007143,0.9813038390348254,-4485.4215221837585,13703.957828473704,4463.176483835747,4755.359822454198,0,122.38749694824219,10555.699
2020-10-07 00:00:00+00:00,128.23,128.13,,42.6007,3.2557142,0.99,-4486.307073073409,13900.317978222849,4463.176483835747,4950.834421313693,0,122.38749694824219,10706.948
2020-10-08 00:00:00+00:00,128.81,129.76,,47.198364,3.2707143,0.9508405603926231,-4487.192623963059,14077.149752105483,4463.176483835747,5126.780644306677,0,123.2464370727539,10843.155
2020-10-09 00:00:00+00:00,130.57,130.64,,58.04319,3.1178572,0.631578947368421,9663.28129587136,0.0,0.0,9663.28129587136,-1,0.0,10916.692
2020-10-12 00:00:00+00:00,131.23,132.89,,72.57231,2.8392856,0.99,-9.663281295870547,9658.452069836443,0.0,9648.788788540573,1,125.96321105957031,11104.709
