,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,8.8,8.9025,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,8.945,8.9125,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10011.233
2016-09-21 00:00:00+00:00,8.97,9.01,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10120.753
2016-09-22 00:00:00+00:00,9.06,9.095,,,,0.5480225988700566,10000.0,0.0,0.0,10000.0,0,0.0,10216.232
2016-09-23 00:00:00+00:00,9.09,9.055,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10171.302
2016-09-26 00:00:00+00:00,8.99,8.84,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9929.796
2016-09-27 00:00:00+00:00,8.8075,8.8625,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9955.069
2016-09-28 00:00:00+00:00,8.9025,8.9475,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10050.548
2016-09-29 00:00:00+00:00,9.0025,8.765,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9845.55
2016-09-30 00:00:00+00:00,8.8025,8.8175,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9904.521
2016-10-03 00:00:00+00:00,8.7375,8.905,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10002.809
2016-10-04 00:00:00+00:00,8.9325,9.0675,,,,0.5480225988700566,10000.0,0.0,0.0,10000.0,0,0.0,10185.342
2016-10-05 00:00:00+00:00,9.125,9.3525,,,,0.5480225988700566,10000.0,0.0,0.0,10000.0,0,0.0,10505.478
2016-10-06 00:00:00+00:00,9.36,9.305,,66.981125,,0.5480225988700566,10000.0,0.0,0.0,10000.0,0,0.0,10452.121
2016-10-07 00:00:00+00:00,9.3225,9.265,,64.66303,0.17892845,0.5480225988700566,-10.0,9995.002498750626,0.0,9985.002498750626,1,,10407.19
2016-10-10 00:00:00+00:00,9.31,9.315,,62.83187,0.17517845,0.5480225988700566,-10.0,10048.941574592343,0.0,10038.941574592343,0,,10463.354
2016-10-11 00:00:00+00:00,9.28,9.2025,,63.855408,0.18053558,0.5480225988700566,-10.0,9927.578373467255,0.0,9917.578373467255,0,,10336.985
