feature,importance
mean_sentiment_score,0.04898253
sma200,0.04895165
bollinger_upper,0.047073092
bollinger_lower,0.0456885
rsi,0.043930545
macd,0.043436226
volatility_21d,0.04319352
atr,0.042786997
vix_close,0.04224595
ma7,0.041388765
return_5d,0.04105719
return_21d,0.040810492
volume_ratio,0.040500276
atr_ratio,0.040205084
vix_ma5,0.040018585
Close_FFD,0.039935533
price_to_sma200,0.039437693
ma21,0.039345916
return_1d,0.03895641
stochastic_oscillator,0.03861524
rsi_slope,0.038585342
neutral,0.038514882
vix_change_1d,0.038215816
ma_spread,0.03812382
negative,0.0
positive,0.0
