feature,importance
bollinger_lower,0.050257713
atr_ratio,0.048573546
Close_FFD,0.047699135
vix_ma5,0.04744912
volume_ratio,0.045637447
price_to_sma200,0.045544937
return_1d,0.045518346
ma21,0.045223955
vix_change_1d,0.04466813
sma200,0.043880653
ma7,0.043780882
macd,0.04290583
vix_close,0.042556494
rsi,0.042471446
rsi_slope,0.04242266
volatility_21d,0.042100903
atr,0.041559037
return_5d,0.041268256
ma_spread,0.04106045
stochastic_oscillator,0.040159233
mean_sentiment_score,0.038943086
return_21d,0.03888002
bollinger_upper,0.037438698
positive,0.0
negative,0.0
neutral,0.0
