,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2022-07-26 00:00:00+00:00,47.16,47.25,60.55875,66.666664,1.2092857,0.51453304,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2022-07-27 00:00:00+00:00,47.43,48.5,60.47565,67.54772,1.2,0.6321756,10000.0,0.0,0.0,10000.0,0,0.0,10264.551
2022-07-28 00:00:00+00:00,48.98,49.51,60.39775,76.27119,1.2192857,0.5405844,-10.0,9995.002498750626,0.0,9985.002498750626,1,46.70000076293945,10478.306
2022-07-29 00:00:00+00:00,49.66,50.58,60.3212,80.04668,1.23,0.3372151,-10.0,10211.012591009794,0.0,10201.012591009794,0,47.681068420410156,10704.761
2022-08-01 00:00:00+00:00,50.16,50.78,60.25595,84.09332,1.2371428,0.37969238,-10.0,10251.38747521361,0.0,10241.38747521361,0,48.73500061035156,10747.088
2022-08-02 00:00:00+00:00,50.43,50.45,60.19265,84.51144,1.2214285,0.43134323,-10.0,10184.768062693227,0.0,10174.768062693227,0,48.924285888671875,10677.247
2022-08-03 00:00:00+00:00,50.36,50.9,60.1308,81.35246,1.1571429,0.6574737,-10.0,10275.613300129875,0.0,10265.613300129875,0,48.924285888671875,10772.484
2022-08-04 00:00:00+00:00,51.37,51.28,60.06735,90.11815,1.1007143,0.55146515,-10.0,10352.326928724027,0.0,10342.326928724027,0,49.16428756713867,10852.908
2022-08-05 00:00:00+00:00,50.77,51.71,59.9954,89.91228,1.1557143,0.3983163,-10.0,10439.134302306555,0.0,10429.134302306555,0,49.628929138183594,10943.912
2022-08-08 00:00:00+00:00,52.26,51.63,59.9254,92.49732,1.1714286,0.50517213,10397.35008221996,0.0,0.0,10397.35008221996,-1,0.0,10926.982
2022-08-09 00:00:00+00:00,51.35,50.77,59.8511,89.68254,1.0892857,0.5565408,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,10744.971
2022-08-10 00:00:00+00:00,52.01,52.01,59.7709,79.31904,1.1185714,0.44771162,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11007.404
2022-08-11 00:00:00+00:00,52.42,52.82,59.694,78.61799,1.12,0.60492253,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11178.833
2022-08-12 00:00:00+00:00,53.14,54.45,59.61715,80.66038,1.1821429,0.4152329,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11523.807
2022-08-15 00:00:00+00:00,54.27,55.16,59.5489,85.04016,1.2628572,0.38489127,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11674.071
2022-08-16 00:00:00+00:00,54.84,55.34,59.48785,87.84689,1.2957143,0.4146976,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11712.167
2022-08-17 00:00:00+00:00,54.64,54.91,59.4338,86.460556,1.2564286,0.52132416,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11621.162
2022-08-18 00:00:00+00:00,54.94,55.31,59.3699,80.681816,1.2357143,0.5304816,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11705.818
2022-08-19 00:00:00+00:00,54.85,53.72,59.3083,79.08979,1.2114285,0.46003824,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11369.311
2022-08-22 00:00:00+00:00,52.65,51.98,59.23775,65.44118,1.2485714,0.62005717,10397.35008221996,0.0,0.0,10397.35008221996,0,0.0,11001.057
2022-08-23 00:00:00+00:00,51.42,51.78,59.1554,56.999084,1.3192858,0.71486974,-10.397350082219418,10392.154005217351,0.0,10381.756655135132,1,50.10714340209961,10958.728
2022-08-24 00:00:00+00:00,51.53,52.06,59.0802,54.11985,1.3292857,0.6832624,-10.397350082219418,10448.350324080346,0.0,10437.952973998126,0,50.10714340209961,11017.987
2022-08-25 00:00:00+00:00,52.53,53.53,59.0001,53.6862,1.2528571,0.6863727,-10.397350082219418,10743.376500993561,0.0,10732.979150911342,0,50.10714340209961,11329.099
2022-08-26 00:00:00+00:00,53.75,51.24,58.9235,57.831326,1.2721429,0.67467064,-10.397350082219418,10283.77824847067,0.0,10273.38089838845,0,51.65071487426758,10844.444
2022-08-29 00:00:00+00:00,50.57,51.07,58.83635,48.590023,1.4028572,0.6753754,10223.887164554559,0.0,0.0,10223.887164554559,-1,0.0,10808.464
2022-08-30 00:00:00+00:00,51.37,51.11,58.73935,51.141552,1.3885714,0.7481098,-10.22388716455498,10218.777775666726,0.0,10208.55388850217,1,48.96571350097656,10816.93
2022-08-31 00:00:00+00:00,51.45,50.78,58.6437,46.231155,1.3621428,0.5348091,-10.22388716455498,10152.798467624849,0.0,10142.574580460294,0,49.02714538574219,10747.088
2022-09-01 00:00:00+00:00,50.75,52.21,58.54645,41.099476,1.305,0.6442409,-10.22388716455498,10438.708290709747,0.0,10428.484403545192,0,49.02714538574219,11049.733
2022-09-02 00:00:00+00:00,53.32,51.47,58.4469,40.053288,1.3021429,0.51417685,-10.22388716455498,10290.75517847322,0.0,10280.531291308665,0,50.252498626708984,10893.119
2022-09-06 00:00:00+00:00,51.68,51.58,58.34305,33.658104,1.3742857,0.5478145,-10.22388716455498,10312.748417260831,0.0,10302.524530096276,0,50.252498626708984,10916.4
