feature,importance
stochastic_oscillator,0.053466715
bollinger_lower,0.0525624
vix_change_1d,0.05088298
atr_ratio,0.048517767
sma200,0.048429184
volume_ratio,0.046828963
return_5d,0.046664726
bollinger_upper,0.046110302
Close_FFD,0.04590119
return_21d,0.045795757
price_to_sma200,0.04543614
ma_spread,0.045372035
macd,0.045310322
vix_ma5,0.044913933
ma21,0.04408032
volatility_21d,0.043954797
return_1d,0.043793015
rsi,0.043432873
rsi_slope,0.041673616
ma7,0.039381146
atr,0.038937915
vix_close,0.038553864
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
