feature,importance
bollinger_upper,0.059784267
ma7,0.05222389
volatility_21d,0.051270556
bollinger_lower,0.044100933
return_5d,0.04390264
ma21,0.043091055
Close_FFD,0.042968236
sma200,0.04282243
rsi,0.042535342
stochastic_oscillator,0.04236202
atr_ratio,0.04224049
atr,0.04185938
ma_spread,0.041623596
return_21d,0.040679388
rsi_slope,0.0403165
macd,0.03986981
price_to_sma200,0.039589953
vix_ma5,0.038784888
vix_close,0.037690777
volume_ratio,0.03629434
neutral,0.03611352
return_1d,0.03535903
vix_change_1d,0.034613676
mean_sentiment_score,0.029903248
negative,0.0
positive,0.0
