feature,importance
sma200,0.049153063
bollinger_upper,0.04761001
ma21,0.04711335
Close_FFD,0.04568575
return_21d,0.04519162
bollinger_lower,0.0450251
atr_ratio,0.044345934
return_5d,0.044246644
vix_change_1d,0.043637715
stochastic_oscillator,0.043028332
ma_spread,0.04292221
volume_ratio,0.042760517
vix_ma5,0.042379986
vix_close,0.042277806
rsi_slope,0.041802816
rsi,0.040695816
macd,0.040625926
price_to_sma200,0.040220246
ma7,0.040023383
return_1d,0.03921499
atr,0.038663965
volatility_21d,0.03541509
mean_sentiment_score,0.030785017
neutral,0.02717472
negative,0.0
positive,0.0
