feature,importance
bollinger_upper,0.049918346
price_to_sma200,0.049348537
Close_FFD,0.04826343
ma21,0.04713087
mean_sentiment_score,0.046077088
rsi_slope,0.046014927
return_21d,0.045793638
volatility_21d,0.04480861
return_5d,0.043761615
rsi,0.043696716
vix_close,0.043485526
macd,0.04315859
stochastic_oscillator,0.042583913
vix_ma5,0.042563677
ma_spread,0.042158548
ma7,0.042012393
atr,0.041783992
volume_ratio,0.04170838
vix_change_1d,0.04074975
atr_ratio,0.040565442
return_1d,0.04012958
bollinger_lower,0.038638752
sma200,0.035647627
positive,0.0
negative,0.0
neutral,0.0
