feature,importance
atr_ratio,0.047163423
Close_FFD,0.04497011
ma21,0.044757858
ma7,0.043360427
atr,0.043016605
vix_ma5,0.04220153
rsi_slope,0.041995704
mean_sentiment_score,0.04199149
return_21d,0.041043244
neutral,0.04095836
price_to_sma200,0.0408719
volatility_21d,0.040653676
macd,0.04044037
bollinger_lower,0.04015564
vix_change_1d,0.039601468
return_1d,0.039555844
vix_close,0.03944678
sma200,0.03916491
bollinger_upper,0.03851033
volume_ratio,0.038409475
stochastic_oscillator,0.037775647
ma_spread,0.037445568
rsi,0.037131473
return_5d,0.036570456
negative,0.022807736
positive,0.0
