feature,importance
bollinger_upper,0.053484526
volume_ratio,0.049628824
rsi,0.04650875
return_21d,0.046086553
return_5d,0.045567032
ma21,0.044989686
macd,0.043570668
sma200,0.04330034
Close_FFD,0.043206263
stochastic_oscillator,0.042630933
vix_ma5,0.041952178
bollinger_lower,0.041909087
atr_ratio,0.040962387
vix_change_1d,0.040714845
return_1d,0.040389255
neutral,0.040239822
rsi_slope,0.04001999
price_to_sma200,0.03977362
ma_spread,0.039755233
ma7,0.038507465
volatility_21d,0.03819061
vix_close,0.037357055
atr,0.03626714
mean_sentiment_score,0.024987739
negative,0.0
positive,0.0
