,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,30.31,30.38,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,30.63,30.79,,,,0.4583333333333333,10000.0,0.0,0.0,10000.0,0,0.0,10134.958
2020-07-29 00:00:00+00:00,30.7,30.69,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10102.042
2020-07-30 00:00:00+00:00,30.45,30.06,,,,0.4583333333333333,10000.0,0.0,0.0,10000.0,0,0.0,9894.669
2020-07-31 00:00:00+00:00,30.1,30.39,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10003.293
2020-08-03 00:00:00+00:00,30.53,30.69,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10102.042
2020-08-04 00:00:00+00:00,30.76,30.91,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10174.458
2020-08-05 00:00:00+00:00,30.76,30.67,,,,0.4583333333333333,10000.0,0.0,0.0,10000.0,0,0.0,10095.459
2020-08-06 00:00:00+00:00,30.76,30.59,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10069.126
2020-08-07 00:00:00+00:00,30.61,30.77,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10128.375
2020-08-10 00:00:00+00:00,30.82,30.61,,,,0.4583333333333333,10000.0,0.0,0.0,10000.0,0,0.0,10075.71
2020-08-11 00:00:00+00:00,30.53,29.94,,,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,9855.17
2020-08-12 00:00:00+00:00,30.16,30.25,,,,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,9957.211
2020-08-13 00:00:00+00:00,30.31,30.42,,48.209366,,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10013.169
2020-08-14 00:00:00+00:00,30.39,31.09,,50.526318,0.47071427,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10233.709
2020-08-17 00:00:00+00:00,31.37,31.62,,57.941833,0.525,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10408.165
2020-08-18 00:00:00+00:00,31.62,31.85,,59.041393,0.5371429,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10483.874
2020-08-19 00:00:00+00:00,31.94,31.82,,62.288136,0.5657143,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10473.999
2020-08-20 00:00:00+00:00,31.93,31.56,,71.35922,0.5657143,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10388.416
2020-08-21 00:00:00+00:00,31.59,31.56,,64.44444,0.575,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10388.416
2020-08-24 00:00:00+00:00,31.66,31.66,,61.6,0.5657143,0.4583333333333333,10000.0,0.0,0.0,10000.0,0,0.0,10421.332
2020-08-25 00:00:00+00:00,31.71,31.7,,60.330578,0.5592857,0.3392857142857143,10000.0,0.0,0.0,10000.0,0,0.0,10434.5
2020-08-26 00:00:00+00:00,31.62,31.95,,65.01458,0.55642855,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10516.79
2020-08-27 00:00:00+00:00,31.99,31.78,,68.888885,0.57857144,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10460.832
2020-08-28 00:00:00+00:00,31.76,31.03,,64.06685,0.5957143,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10213.959
2020-08-31 00:00:00+00:00,31.05,31.35,,55.023922,0.645,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10319.291
2020-09-01 00:00:00+00:00,31.27,31.11,,68.40731,0.62857145,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10240.293
2020-09-02 00:00:00+00:00,31.2,32.16,,61.43617,0.6414286,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10585.914
2020-09-03 00:00:00+00:00,31.99,31.75,,68.75,0.685,0.49734143982948703,10000.0,0.0,0.0,10000.0,0,0.0,10450.956
2020-09-04 00:00:00+00:00,31.73,31.14,,57.53425,0.68285716,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10250.165
2020-09-08 00:00:00+00:00,31.38,30.43,,44.618835,0.70785713,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10016.459
2020-09-09 00:00:00+00:00,30.58,30.94,,35.62753,0.7164286,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10184.332
2020-09-10 00:00:00+00:00,30.95,30.5,,41.88192,0.7214286,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,10039.5
2020-09-11 00:00:00+00:00,30.79,30.18,,40.535713,0.72642857,0.49514563106796117,10000.0,0.0,0.0,10000.0,0,0.0,9934.168
2020-09-14 00:00:00+00:00,29.56,28.85,,38.344593,0.7771429,0.6,10000.0,0.0,0.0,10000.0,0,0.0,9496.38
2020-09-15 00:00:00+00:00,28.84,28.74,,30.34965,0.85071427,0.6,-10.0,9995.002498750626,0.0,9985.002498750626,1,27.68428611755371,9460.172
2020-09-16 00:00:00+00:00,28.78,28.15,,29.501385,0.87214285,0.6,-10.0,9789.81596657421,0.0,9779.81596657421,0,27.68428611755371,9265.965
2020-09-17 00:00:00+00:00,28.2,28.56,,24.867725,0.88785714,0.6,-10.0,9932.403380955722,0.0,9922.403380955722,0,27.68428611755371,9400.922
2020-09-18 00:00:00+00:00,28.51,29.18,,29.358974,0.9092857,0.6613487722639174,-10.0,10148.023213244025,0.0,10138.023213244025,0,27.68428611755371,9605.004
2020-09-21 00:00:00+00:00,29.08,29.41,,37.940025,0.8964286,0.49675167586449825,-10.0,10228.01113196185,0.0,10218.01113196185,0,27.816072463989258,9680.712
2020-09-22 00:00:00+00:00,29.38,29.64,,37.203167,0.9,0.49514563106796117,-10.0,10307.99916028432,0.0,10297.99916028432,0,28.065357208251953,9756.42
2020-09-23 00:00:00+00:00,29.72,29.26,,40.290623,0.89285713,0.49514563106796117,-10.0,10175.845639975356,0.0,10165.845639975356,0,28.28999900817871,9631.338
2020-09-24 00:00:00+00:00,29.13,29.35,,28.985508,0.87142855,0.6,-10.0,10207.144893582466,0.0,10197.144893582466,0,28.28999900817871,9660.963
2020-09-25 00:00:00+00:00,29.49,29.47,,31.762918,0.83214283,0.4989275747934394,-10.0,10248.877019867923,0.0,10238.877019867923,0,28.28999900817871,9700.462
2020-09-28 00:00:00+00:00,29.45,29.61,,36.288998,0.7935714,0.49914890538987355,-10.0,10297.565431356308,0.0,10287.565431356308,0,28.28999900817871,9746.545
2020-09-29 00:00:00+00:00,29.43,29.67,,42.572464,0.75,0.49514563106796117,-10.0,10318.43158903136,0.0,10308.43158903136,0,28.41964340209961,9766.294
2020-09-30 00:00:00+00:00,29.63,29.81,,37.475346,0.7385714,0.49514563106796117,-10.0,10367.119542879846,0.0,10357.119542879846,0,28.545000076293945,9812.377
2020-10-01 00:00:00+00:00,29.88,29.87,,42.767296,0.7657143,0.49514563106796117,-10.0,10387.986987571685,0.0,10377.986987571685,0,28.7021427154541,9832.128
2020-10-02 00:00:00+00:00,29.66,29.94,,46.563194,0.7278572,0.49514563106796117,-10.0,10412.331603053619,0.0,10402.331603053619,0,28.7214298248291,9855.17
