,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,41.88,42.14,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,42.29,42.07,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9983.389
2016-09-21 00:00:00+00:00,42.05,42.52,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10090.176
2016-09-22 00:00:00+00:00,42.81,43.26,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10265.779
2016-09-23 00:00:00+00:00,42.93,43.15,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10239.678
2016-09-26 00:00:00+00:00,43.2,43.26,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10265.78
2016-09-27 00:00:00+00:00,43.54,43.65,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10358.33
2016-09-28 00:00:00+00:00,43.86,43.91,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10420.028
2016-09-29 00:00:00+00:00,43.77,43.48,,,,0.7,10000.0,0.0,0.0,10000.0,0,0.0,10317.987
2016-09-30 00:00:00+00:00,43.63,43.28,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10270.526
2016-10-03 00:00:00+00:00,42.99,42.75,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10144.756
2016-10-04 00:00:00+00:00,42.66,42.37,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10054.58
2016-10-05 00:00:00+00:00,42.46,42.17,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10007.119
2016-10-06 00:00:00+00:00,41.96,42.8,,50.38758,,0.5370370370370371,10000.0,0.0,0.0,10000.0,0,0.0,10156.621
2016-10-07 00:00:00+00:00,42.87,42.07,,57.33334,0.7292865,0.5306122448979592,-10.0,9995.002498750626,0.0,9985.002498750626,1,,9983.389
2016-10-10 00:00:00+00:00,42.07,41.96,,49.330788,0.7364292,0.5306122448979592,-10.0,9968.86879607834,0.0,9958.86879607834,0,,9957.285
2016-10-11 00:00:00+00:00,41.84,41.35,,48.95635,0.7328576,0.5370370370370371,-10.0,9823.944451234649,0.0,9813.944451234649,0,,9812.529
2016-10-12 00:00:00+00:00,41.46,42.0,,39.226494,0.7492858,0.5370370370370371,-10.0,9978.372269898015,0.0,9968.372269898015,0,,9966.778
2016-10-13 00:00:00+00:00,41.69,41.65,,38.202263,0.7514286,0.5306122448979592,-10.0,9895.219246949842,0.0,9885.219246949842,0,,9883.722
2016-10-14 00:00:00+00:00,41.75,41.88,,36.559143,0.76142853,0.5306122448979592,-10.0,9949.863132609502,0.0,9939.863132609502,0,,9938.302
2016-10-17 00:00:00+00:00,41.9,41.56,,37.89477,0.7407142,0.5370370370370371,-10.0,9873.83724103377,0.0,9863.83724103377,0,,9862.364
2016-10-18 00:00:00+00:00,41.87,41.7,,31.438723,0.7285715,0.5306122448979592,-10.0,9907.098408173435,0.0,9897.098408173435,0,,9895.587
2016-10-19 00:00:00+00:00,41.8,41.75,,29.94557,0.72928566,0.7,-10.0,9918.977088854355,0.0,9908.977088854355,0,,9907.452
2016-10-20 00:00:00+00:00,41.63,41.89,,33.13841,0.70142853,0.7,-10.0,9952.237780799,0.0,9942.237780799,0,,9940.674
2016-10-21 00:00:00+00:00,41.68,41.93,,36.29192,0.67214286,0.7,-10.0,9961.74083835327,0.0,9951.74083835327,0,,9950.166
2016-10-24 00:00:00+00:00,42.39,42.32,,41.048042,0.66285735,0.99,-10.0,10054.396838868692,0.0,10044.396838868692,0,,10042.714
2016-10-25 00:00:00+00:00,42.17,41.76,,49.455345,0.65142876,0.99,-10.0,9921.351739478361,0.0,9911.351739478361,0,,9909.823
2016-10-26 00:00:00+00:00,41.56,41.69,,45.85859,0.627143,0.99,-10.0,9904.720960273435,0.0,9894.720960273435,0,,9893.212
2016-10-27 00:00:00+00:00,41.94,41.18,,37.357624,0.5692858,0.5370370370370371,-10.0,9783.555141078843,0.0,9773.555141078843,0,,9772.1875
2016-10-28 00:00:00+00:00,41.18,41.4,,39.32854,0.572143,0.7,-10.0,9835.823623192036,0.0,9825.823623192036,0,,9824.3955
2016-10-31 00:00:00+00:00,41.39,41.57,,43.45797,0.58714324,0.7,-10.0,9876.212300374767,0.0,9866.212300374767,0,,9864.736
2016-11-01 00:00:00+00:00,41.7,41.4,,52.8646,0.5657147,0.8713651635720601,-10.0,9835.824368925569,0.0,9825.824368925569,0,,9824.3955
2016-11-02 00:00:00+00:00,41.21,41.21,,41.071434,0.5450004,0.99,-10.0,9790.683458493317,0.0,9780.683458493317,0,,9779.308
2016-11-03 00:00:00+00:00,42.65,44.39,,43.124954,0.5471431,0.99,-10.0,10546.188624733972,0.0,10536.188624733972,0,,10533.935
2016-11-04 00:00:00+00:00,44.36,43.76,,70.4065,0.81642884,0.5306122448979592,-10.0,10396.512872377514,0.0,10386.512872377514,0,,10384.434
2016-11-07 00:00:00+00:00,44.44,44.18,,67.02784,0.84785736,0.99,-10.0,10496.297537591783,0.0,10486.297537591783,0,,10484.102
2016-11-08 00:00:00+00:00,44.06,43.51,,68.39762,0.8650003,0.99,-10.0,10337.118357995656,0.0,10327.118357995656,0,,10325.107
2016-11-09 00:00:00+00:00,43.69,45.02,,61.956505,0.89642876,0.99,-10.0,10695.864796600623,0.0,10685.864796600623,0,,10683.4375
2016-11-10 00:00:00+00:00,45.14,45.84,,67.92668,1.0057147,0.5370370370370371,-10.0,10890.680417754622,0.0,10880.680417754622,0,,10878.026
2016-11-11 00:00:00+00:00,45.79,46.45,,70.5573,1.0571433,0.5306122448979592,-10.0,11035.605030318891,0.0,11025.605030318891,0,,11022.782
2016-11-14 00:00:00+00:00,46.6,47.4,,71.223015,1.0878576,0.99,-10.0,11261.306788825983,0.0,11251.306788825983,0,,11248.222
2016-11-15 00:00:00+00:00,47.57,47.92,,77.86561,1.124286,0.5370370370370371,-10.0,11384.847311705165,0.0,11374.847311705165,0,,11371.618
2016-11-16 00:00:00+00:00,47.89,47.87,,79.470184,1.1750003,0.99,-10.0,11372.968597609131,0.0,11362.968597609131,0,,11359.754
2016-11-17 00:00:00+00:00,47.88,47.55,,83.08603,1.1378572,0.99,-10.0,11296.942803212787,0.0,11286.942803212787,0,,11283.816
2016-11-18 00:00:00+00:00,47.63,48.36,,80.117516,1.135,0.99,-10.0,11489.383614929522,0.0,11479.383614929522,0,,11476.033
2016-11-21 00:00:00+00:00,49.03,49.45,,81.290306,1.1985716,0.7,-10.0,11748.345796524558,0.0,11738.345796524558,0,,11734.694
2016-11-22 00:00:00+00:00,49.48,49.47,,84.19708,1.2407144,0.7,-10.0,11753.09773359059,0.0,11743.09773359059,0,,11739.441
2016-11-23 00:00:00+00:00,49.43,49.7,,85.60344,1.234286,0.99,-10.0,11807.741193471868,0.0,11797.741193471868,0,,11794.021
