feature,importance
ma21,0.055208653
ma7,0.04942038
return_21d,0.048402965
vix_ma5,0.048344083
Close_FFD,0.048226677
return_1d,0.04711595
bollinger_upper,0.04707741
macd,0.046673205
bollinger_lower,0.046026297
return_5d,0.045860246
volatility_21d,0.045626935
vix_close,0.045217644
rsi,0.044754434
price_to_sma200,0.044110127
atr_ratio,0.043600958
atr,0.043174997
stochastic_oscillator,0.04283333
volume_ratio,0.042434424
ma_spread,0.042316366
rsi_slope,0.04184612
sma200,0.04109683
vix_change_1d,0.04063197
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
