feature,importance
bollinger_upper,0.06224405
ma21,0.06098479
vix_ma5,0.051351033
ma7,0.050290205
bollinger_lower,0.04890542
volatility_21d,0.047638416
return_21d,0.04601141
atr,0.04591657
stochastic_oscillator,0.045885514
sma200,0.045533013
Close_FFD,0.045010515
rsi_slope,0.04460842
return_1d,0.044366036
price_to_sma200,0.042709175
vix_close,0.042136006
rsi,0.0419572
atr_ratio,0.04180238
volume_ratio,0.041502338
vix_change_1d,0.041200366
return_5d,0.038211845
ma_spread,0.036167577
macd,0.0355677
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
