feature,importance
sma200,0.05442714
bollinger_lower,0.05052412
ma21,0.05010645
bollinger_upper,0.04936113
volatility_21d,0.048963226
price_to_sma200,0.048189133
vix_ma5,0.04524453
return_21d,0.045191552
rsi_slope,0.044978317
ma7,0.04490676
mean_sentiment_score,0.042983286
macd,0.042396404
atr_ratio,0.041980017
vix_close,0.041879024
return_1d,0.041608907
rsi,0.041514255
return_5d,0.040807042
volume_ratio,0.03946232
atr,0.038543943
vix_change_1d,0.038256496
ma_spread,0.037828986
positive,0.035670653
stochastic_oscillator,0.03517635
negative,0.0
neutral,0.0
