feature,importance
bollinger_lower,0.05743332
rsi_slope,0.05227177
rsi,0.052159447
ma_spread,0.0509832
stochastic_oscillator,0.05083681
macd,0.050271697
price_to_sma200,0.04953378
volume_ratio,0.04932913
volatility_21d,0.048465
sma200,0.048309308
return_21d,0.048123557
atr_ratio,0.047473695
atr,0.046846937
return_5d,0.046846688
vix_close,0.046004944
vix_ma5,0.045552526
vix_change_1d,0.044690035
return_1d,0.04425971
ma7,0.043205786
bollinger_upper,0.042293306
ma21,0.03510938
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
