feature,importance
neutral,0.050192878
ma21,0.04819907
ma_spread,0.047044817
bollinger_lower,0.046840575
rsi,0.043636356
vix_close,0.043447904
macd,0.04296803
rsi_slope,0.042846583
volatility_21d,0.04272997
price_to_sma200,0.042282306
volume_ratio,0.042138364
ma7,0.04146725
bollinger_upper,0.041283965
sma200,0.041263815
vix_change_1d,0.04109153
return_21d,0.040828653
atr_ratio,0.038665835
Close_FFD,0.038643144
return_5d,0.038640246
atr,0.03833652
vix_ma5,0.038090445
mean_sentiment_score,0.037809506
return_1d,0.03738525
stochastic_oscillator,0.034167003
negative,0.0
positive,0.0
