feature,importance
vix_close,0.050057586
sma200,0.049474742
macd,0.048983067
vix_ma5,0.048598547
volatility_21d,0.04666284
volume_ratio,0.04663196
atr,0.0465872
atr_ratio,0.046446335
return_5d,0.04625341
return_21d,0.04625311
bollinger_lower,0.045789022
rsi_slope,0.04551616
price_to_sma200,0.042880364
Close_FFD,0.042236682
vix_change_1d,0.042073324
ma21,0.041790716
return_1d,0.040080324
stochastic_oscillator,0.039975636
bollinger_upper,0.039814703
rsi,0.03820312
ma_spread,0.038178515
ma7,0.034636687
mean_sentiment_score,0.03287596
positive,0.0
negative,0.0
neutral,0.0
