feature,importance
Close_FFD,0.058746975
return_21d,0.054136463
ma_spread,0.051511154
macd,0.047358476
atr_ratio,0.046785664
ma21,0.046762593
vix_ma5,0.045881737
return_1d,0.045742154
sma200,0.04571912
price_to_sma200,0.045682672
volatility_21d,0.045381214
rsi_slope,0.04212865
bollinger_lower,0.042003535
bollinger_upper,0.04169471
vix_change_1d,0.04085572
stochastic_oscillator,0.03982736
rsi,0.039316863
atr,0.039238155
return_5d,0.038510058
volume_ratio,0.037244003
ma7,0.0370825
vix_close,0.034851685
mean_sentiment_score,0.03353853
positive,0.0
negative,0.0
neutral,0.0
