feature,importance
ma7,0.05299089
sma200,0.04774723
price_to_sma200,0.047435075
vix_ma5,0.046852924
stochastic_oscillator,0.04683501
vix_close,0.046231776
rsi_slope,0.046159733
ma_spread,0.04440709
atr,0.04432609
rsi,0.044258863
bollinger_lower,0.04424144
atr_ratio,0.044070657
vix_change_1d,0.043077447
return_5d,0.043068156
bollinger_upper,0.0425182
macd,0.04152462
volatility_21d,0.041440852
return_1d,0.041431364
Close_FFD,0.04091308
return_21d,0.03972889
volume_ratio,0.039566193
mean_sentiment_score,0.037545215
ma21,0.03362916
positive,0.0
negative,0.0
neutral,0.0
