feature,importance
price_to_sma200,0.06290489
vix_ma5,0.05411708
ma_spread,0.05183933
stochastic_oscillator,0.051522247
volatility_21d,0.051317014
bollinger_lower,0.049357224
return_21d,0.04826682
atr_ratio,0.048226643
rsi_slope,0.04781288
return_1d,0.047314126
macd,0.046078674
volume_ratio,0.044176027
rsi,0.04271102
vix_close,0.04226078
atr,0.04134348
return_5d,0.040357765
ma21,0.039943166
negative,0.039462455
vix_change_1d,0.038887843
bollinger_upper,0.036992602
ma7,0.036657356
sma200,0.035486355
mean_sentiment_score,0.0029642489
positive,0.0
neutral,0.0
