,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,41.21,42.43,,,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,42.2,41.55,,,,0.5,10000.0,0.0,0.0,10000.0,0,0.0,9792.599
2020-07-29 00:00:00+00:00,41.57,41.81,,,,0.6274509803921569,10000.0,0.0,0.0,10000.0,0,0.0,9853.877
2020-07-30 00:00:00+00:00,40.99,40.73,,,,0.5,10000.0,0.0,0.0,10000.0,0,0.0,9599.34
2020-07-31 00:00:00+00:00,40.71,40.71,,,,0.6274509803921569,10000.0,0.0,0.0,10000.0,0,0.0,9594.626
2020-08-03 00:00:00+00:00,40.92,41.17,,,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,9703.039
2020-08-04 00:00:00+00:00,41.33,41.01,,,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,9665.33
2020-08-05 00:00:00+00:00,41.34,41.43,,,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,9764.317
2020-08-06 00:00:00+00:00,41.46,41.18,,,,0.5,10000.0,0.0,0.0,10000.0,0,0.0,9705.397
2020-08-07 00:00:00+00:00,40.97,41.92,,,,0.6274509803921569,10000.0,0.0,0.0,10000.0,0,0.0,9879.802
2020-08-10 00:00:00+00:00,42.06,42.1,,,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,9922.225
2020-08-11 00:00:00+00:00,43.01,43.1,,,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,10157.907
2020-08-12 00:00:00+00:00,43.81,43.63,,,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,10282.819
2020-08-13 00:00:00+00:00,43.14,43.43,,60.033443,,0.6125,10000.0,0.0,0.0,10000.0,0,0.0,10235.683
2020-08-14 00:00:00+00:00,43.1,43.57,,58.090614,0.93357146,0.6274509803921569,-10.0,9995.002498750626,0.0,9985.002498750626,1,,10268.678
2020-08-17 00:00:00+00:00,43.38,42.69,,59.018986,0.88,0.6125,-10.0,9793.129520139833,0.0,9783.129520139833,0,,10061.277
2020-08-18 00:00:00+00:00,42.6,42.39,,59.018986,0.88928574,0.6274509803921569,-10.0,9724.309402998557,0.0,9714.309402998557,0,,9990.573
2020-08-19 00:00:00+00:00,42.62,42.76,,54.55975,0.8842857,0.6274509803921569,-10.0,9809.188078279074,0.0,9799.188078279074,0,,10077.775
2020-08-20 00:00:00+00:00,42.21,42.28,,67.9646,0.85,0.6125,-10.0,9699.075410649448,0.0,9689.075410649448,0,,9964.647
2020-08-21 00:00:00+00:00,42.16,42.56,,62.84779,0.85642856,0.6274509803921569,-10.0,9763.308050363119,0.0,9753.308050363119,0,,10030.64
2020-08-24 00:00:00+00:00,42.73,43.59,,61.720066,0.83928573,0.6125,-10.0,9999.591378960238,0.0,9989.591378960238,0,,10273.393
2020-08-25 00:00:00+00:00,43.91,43.34,,68.97059,0.87857145,0.6274509803921569,-10.0,9942.240941219774,0.0,9932.240941219774,0,,10214.472
2020-08-26 00:00:00+00:00,43.17,43.05,,64.40422,0.89,0.6274509803921569,-10.0,9875.714652811597,0.0,9865.714652811597,0,,10146.124
2020-08-27 00:00:00+00:00,43.13,43.8,,64.01799,0.875,0.6274509803921569,-10.0,10047.765434837154,0.0,10037.765434837154,0,,10322.887
2020-08-28 00:00:00+00:00,44.07,44.04,,64.07185,0.86785716,0.6274509803921569,-10.0,10102.82171332964,0.0,10092.82171332964,0,,10379.45
2020-08-31 00:00:00+00:00,44.0,43.55,,64.39169,0.86714286,0.6125,-10.0,9990.414891865112,0.0,9980.414891865112,0,,10263.965
2020-09-01 00:00:00+00:00,43.15,43.77,,53.611557,0.76714283,0.6125,-10.0,10040.883791099952,0.0,10030.883791099952,0,,10315.816
2020-09-02 00:00:00+00:00,43.79,44.36,,51.182434,0.7342857,0.6125,-10.0,10176.230792018177,0.0,10166.230792018177,0,,10454.869
2020-09-03 00:00:00+00:00,44.68,43.95,,57.369255,0.75357145,0.6274509803921569,-10.0,10082.176626444252,0.0,10072.176626444252,0,,10358.239
2020-09-04 00:00:00+00:00,44.47,43.89,,52.88754,0.82857144,0.6274509803921569,-10.0,10068.411991380324,0.0,10058.411991380324,0,,10344.098
2020-09-08 00:00:00+00:00,43.37,41.75,,60.416668,0.87357146,0.508308286818377,-10.0,9577.49365758258,0.0,9567.49365758258,0,,9839.737
2020-09-09 00:00:00+00:00,42.08,42.48,,45.789474,0.98571426,0.6125,-10.0,9744.956350108672,0.0,9734.956350108672,0,,10011.785
2020-09-10 00:00:00+00:00,42.75,41.91,,48.241207,1.0078571,0.6125,-10.0,9614.197761578622,0.0,9604.197761578622,0,,9877.446
2020-09-11 00:00:00+00:00,41.94,41.95,,47.701862,1.04,0.6125,-10.0,9623.3734516668,0.0,9613.3734516668,0,,9886.873
2020-09-14 00:00:00+00:00,42.32,42.61,,46.09475,1.0407143,0.6125,-10.0,9774.778020983196,0.0,9764.778020983196,0,,10042.423
2020-09-15 00:00:00+00:00,42.64,41.98,,43.41398,1.035,0.6125,-10.0,9630.25509556023,0.0,9620.25509556023,0,,9893.943
2020-09-16 00:00:00+00:00,41.99,42.57,,41.304348,1.0457143,0.6125,-10.0,9765.601574349817,0.0,9755.601574349817,0,,10032.996
2020-09-17 00:00:00+00:00,41.9,41.84,,47.044334,1.1121428,0.6125,-10.0,9598.139117686038,0.0,9588.139117686038,0,,9860.948
2020-09-18 00:00:00+00:00,41.82,41.72,,37.901234,1.1121428,0.6125,-10.0,9570.611114347175,0.0,9560.611114347175,0,,9832.667
2020-09-21 00:00:00+00:00,40.7,40.25,,35.463657,1.1307143,0.5,-10.0,9233.391319562412,0.0,9223.391319562412,0,,9486.213
2020-09-22 00:00:00+00:00,40.19,39.66,,31.584822,1.2485714,0.38461538461538464,-10.0,9098.044654952144,0.0,9088.044654952144,0,,9347.16
2020-09-23 00:00:00+00:00,39.79,38.62,,27.974276,1.2828572,0.38461538461538464,-10.0,8859.467137093587,0.0,8849.467137093587,0,,9102.051
2020-09-24 00:00:00+00:00,38.7,38.82,,20.654396,1.3307143,0.5,-10.0,8905.347570577856,0.0,8895.347570577856,0,,9149.1875
2020-09-25 00:00:00+00:00,38.45,39.18,,23.197493,1.295,0.42857142857142855,-10.0,8987.931569998307,0.0,8977.931569998307,0,,9234.032
2020-09-28 00:00:00+00:00,40.05,40.19,,26.139818,1.2592857,0.5,-10.0,9219.626180397825,0.0,9209.626180397825,0,,9472.071
2020-09-29 00:00:00+00:00,39.98,39.34,,41.075516,1.2292857,0.38461538461538464,-10.0,9024.635548007413,0.0,9014.635548007413,0,,9271.741
2020-09-30 00:00:00+00:00,39.67,40.31,,32.27991,1.2035714,0.5,-10.0,9247.155010454962,0.0,9237.155010454962,0,,9500.354
2020-10-01 00:00:00+00:00,40.59,39.34,,41.36069,1.225,0.5,-10.0,9024.635840786654,0.0,9014.635840786654,0,,9271.742
2020-10-02 00:00:00+00:00,38.78,39.94,,37.193325,1.3007143,0.6125,-10.0,9162.276306221473,0.0,9152.276306221473,0,,9413.151
2020-10-05 00:00:00+00:00,40.32,40.5,,36.821323,1.3378571,0.5,-10.0,9290.740939723104,0.0,9280.740939723104,0,,9545.133
2020-10-06 00:00:00+00:00,40.96,39.68,,42.644135,1.34,0.5,-10.0,9102.632023583994,0.0,9092.632023583994,0,,9351.873
2020-10-07 00:00:00+00:00,40.27,40.58,,35.95724,1.3592857,0.6125,-10.0,9309.093141399873,0.0,9299.093141399873,0,,9563.988
2020-10-08 00:00:00+00:00,40.01,40.79,,43.977055,1.3792857,0.42857142857142855,-10.0,9357.267646915128,0.0,9347.267646915128,0,,9613.481
2020-10-09 00:00:00+00:00,41.17,40.65,,45.59242,1.4614285,0.6125,-10.0,9325.151499461801,0.0,9315.151499461801,0,,9580.485
2020-10-12 00:00:00+00:00,40.93,42.25,,52.169197,1.3671429,0.5,-10.0,9692.193229977853,0.0,9682.193229977853,0,,9957.577
2020-10-13 00:00:00+00:00,42.48,41.98,,62.658848,1.3978572,0.5,-10.0,9630.254575236488,0.0,9620.254575236488,0,,9893.943
2020-10-14 00:00:00+00:00,42.3,42.13,,67.75899,1.3642857,0.5,-10.0,9664.665201008742,0.0,9654.665201008742,0,,9929.296
2020-10-15 00:00:00+00:00,41.61,42.74,,67.58767,1.3321428,0.6125,-10.0,9804.600285667522,0.0,9794.600285667522,0,,10073.0625
2020-10-16 00:00:00+00:00,42.95,43.17,,68.4265,1.3607143,0.6125,-10.0,9903.242282731779,0.0,9893.242282731779,0,,10174.405
2020-10-19 00:00:00+00:00,43.38,42.39,,66.40969,1.2928572,0.6274509803921569,-10.0,9724.309756641094,0.0,9714.309756641094,0,,9990.573
2020-10-20 00:00:00+00:00,42.87,42.86,,66.92564,1.3121428,0.6274509803921569,-10.0,9832.128399037476,0.0,9822.128399037476,0,,10101.345
2020-10-21 00:00:00+00:00,42.87,41.91,,64.982376,1.2885715,0.6274509803921569,-10.0,9614.19751063799,0.0,9604.19751063799,0,,9877.446
2020-10-22 00:00:00+00:00,42.04,43.1,,65.13545,1.2521429,0.6125,-10.0,9887.184025500328,0.0,9877.184025500328,0,,10157.907
2020-10-23 00:00:00+00:00,43.45,43.15,,67.40088,1.2507143,0.5,-10.0,9898.654590692571,0.0,9888.654590692571,0,,10169.692
2020-10-26 00:00:00+00:00,42.57,41.89,,65.46091,1.2471429,0.5,-10.0,9609.608983844328,0.0,9599.608983844328,0,,9872.732
2020-10-27 00:00:00+00:00,41.83,40.45,,62.264153,1.255,0.6274509803921569,-10.0,9279.271687141254,0.0,9269.271687141254,0,,9533.35
2020-10-28 00:00:00+00:00,39.66,39.57,,49.31937,1.2692857,0.5,-10.0,9077.398550924569,0.0,9067.398550924569,0,,9325.949
2020-10-29 00:00:00+00:00,39.59,40.37,,44.03131,1.2185714,0.6125,-10.0,9260.919035758769,0.0,9250.919035758769,0,,9514.494
2020-10-30 00:00:00+00:00,40.19,40.38,,48.713234,1.2707143,0.38461538461538464,-10.0,9263.213121947598,0.0,9253.213121947598,0,,9516.852
2020-11-02 00:00:00+00:00,40.96,41.42,,39.935413,1.2135714,0.6125,-10.0,9501.789827189981,0.0,9491.789827189981,0,,9761.961
2020-11-03 00:00:00+00:00,42.28,42.97,,47.2167,1.2407143,0.5,-10.0,9857.361854587416,0.0,9847.361854587416,0,,10127.269
2020-11-04 00:00:00+00:00,42.4,43.16,,53.66492,1.305,0.42857142857142855,-10.0,9900.948259615563,0.0,9890.948259615563,0,,10172.049
2020-11-05 00:00:00+00:00,43.6,43.79,,51.902172,1.3014286,0.5,-10.0,10045.470617978852,0.0,10035.470617978852,0,,10320.528
2020-11-06 00:00:00+00:00,44.11,43.36,,52.758007,1.325,0.5,-10.0,9946.827845397898,0.0,9936.827845397898,0,,10219.186
2020-11-09 00:00:00+00:00,46.7,46.93,,54.45363,1.3092858,0.6274509803921569,-10.0,10765.789197209479,0.0,10755.789197209479,0,,11060.57
