feature,importance
mean_sentiment_score,0.048799857
macd,0.048103973
sma200,0.046600826
Close_FFD,0.046452355
price_to_sma200,0.04631435
bollinger_upper,0.044834055
return_21d,0.044770706
volatility_21d,0.044717897
ma7,0.044624865
ma_spread,0.04407589
atr,0.04297779
vix_change_1d,0.042838555
volume_ratio,0.042817004
stochastic_oscillator,0.042330157
rsi_slope,0.042030863
ma21,0.041838177
vix_ma5,0.04170078
return_1d,0.04163769
atr_ratio,0.041608397
bollinger_lower,0.041251715
vix_close,0.040663075
return_5d,0.040519383
rsi,0.03849164
positive,0.0
negative,0.0
neutral,0.0
