feature,importance
bollinger_upper,0.04937527
bollinger_lower,0.047929533
price_to_sma200,0.046801936
ma7,0.046060465
ma21,0.045305442
return_5d,0.044742607
return_1d,0.043505035
vix_close,0.043379594
atr,0.042942658
stochastic_oscillator,0.042186126
vix_ma5,0.041501917
rsi_slope,0.040392596
volume_ratio,0.0399218
sma200,0.03952187
ma_spread,0.038569983
Close_FFD,0.038324535
return_21d,0.03799251
atr_ratio,0.037834406
vix_change_1d,0.03739666
macd,0.035382185
volatility_21d,0.035344142
negative,0.034091163
rsi,0.03240177
neutral,0.031742245
mean_sentiment_score,0.027353507
positive,0.0
