feature,importance
bollinger_lower,0.06295929
vix_change_1d,0.053822685
ma21,0.049784508
macd,0.04828107
atr,0.04810895
return_1d,0.04804803
vix_ma5,0.047720555
return_5d,0.04615984
sma200,0.046120502
return_21d,0.04607467
vix_close,0.04603324
volatility_21d,0.044559967
rsi_slope,0.04372513
stochastic_oscillator,0.043535557
Close_FFD,0.043145753
atr_ratio,0.04300353
ma_spread,0.042316347
rsi,0.041077487
bollinger_upper,0.0404782
volume_ratio,0.040042415
ma7,0.03847057
price_to_sma200,0.03653165
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
