feature,importance
return_1d,0.05206648
ma_spread,0.04991418
return_5d,0.049794953
stochastic_oscillator,0.046075802
return_21d,0.04564457
volatility_21d,0.045269076
sma200,0.04520284
atr,0.04502808
macd,0.044638146
vix_close,0.043532602
atr_ratio,0.042120583
bollinger_lower,0.041705564
vix_change_1d,0.041444167
price_to_sma200,0.04078999
bollinger_upper,0.040532198
rsi,0.039867792
ma21,0.03857822
volume_ratio,0.03800572
rsi_slope,0.037387695
vix_ma5,0.036769785
neutral,0.0364797
Close_FFD,0.035893522
ma7,0.03508338
mean_sentiment_score,0.028174996
negative,0.0
positive,0.0
