,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,85.78,86.78,,,,0.6552233278215511,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,87.0,86.95,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10019.59
2020-07-29 00:00:00+00:00,88.6,89.15,,,,0.5756486877899096,10000.0,0.0,0.0,10000.0,0,0.0,10273.1045
2020-07-30 00:00:00+00:00,86.52,86.26,,,,0.6515858132159992,10000.0,0.0,0.0,10000.0,0,0.0,9940.079
2020-07-31 00:00:00+00:00,87.1,87.8,,,,0.5027932960893856,10000.0,0.0,0.0,10000.0,0,0.0,10117.54
2020-08-03 00:00:00+00:00,88.78,88.04,,,,0.5027932960893856,10000.0,0.0,0.0,10000.0,0,0.0,10145.197
2020-08-04 00:00:00+00:00,88.13,87.56,,,,0.5713859196943729,10000.0,0.0,0.0,10000.0,0,0.0,10089.884
2020-08-05 00:00:00+00:00,88.07,87.14,,,,0.5027932960893856,10000.0,0.0,0.0,10000.0,0,0.0,10041.486
2020-08-06 00:00:00+00:00,87.58,86.0,,,,0.5027932960893856,10000.0,0.0,0.0,10000.0,0,0.0,9910.119
2020-08-07 00:00:00+00:00,86.2,86.24,,,,0.6852461834346623,10000.0,0.0,0.0,10000.0,0,0.0,9937.775
2020-08-10 00:00:00+00:00,86.2,87.76,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10112.932
2020-08-11 00:00:00+00:00,86.47,84.25,,,,0.5027932960893856,10000.0,0.0,0.0,10000.0,0,0.0,9708.46
2020-08-12 00:00:00+00:00,84.82,85.42,,,,0.5027932960893856,10000.0,0.0,0.0,10000.0,0,0.0,9843.282
2020-08-13 00:00:00+00:00,85.54,87.75,,45.618557,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10111.777
2020-08-14 00:00:00+00:00,87.66,87.14,,52.717087,2.5271428,0.75,-10.0,9995.002498750626,0.0,9985.002498750626,1,,10041.484
2020-08-17 00:00:00+00:00,87.53,88.5,,50.975082,2.5292857,0.75,-10.0,10150.995688221565,0.0,10140.995688221565,0,,10198.203
2020-08-18 00:00:00+00:00,88.51,87.47,,53.94402,2.5035715,0.75,-10.0,10032.854310171586,0.0,10022.854310171586,0,,10079.513
2020-08-19 00:00:00+00:00,87.85,87.45,,45.454544,2.4592857,0.5027932960893856,-10.0,10030.559766071532,0.0,10020.559766071532,0,,10077.207
2020-08-20 00:00:00+00:00,87.16,90.68,,53.81166,2.267857,0.75,-10.0,10401.042991207372,0.0,10391.042991207372,0,,10449.413
2020-08-21 00:00:00+00:00,90.46,89.93,,58.3237,2.4221427,0.75,-10.0,10315.017423702851,0.0,10305.017423702851,0,,10362.987
2020-08-24 00:00:00+00:00,90.79,89.47,,55.306007,2.3421428,0.75,-10.0,10262.255162654898,0.0,10252.255162654898,0,,10309.9795
2020-08-25 00:00:00+00:00,89.8,91.59,,55.368183,2.4185715,0.5,-10.0,10505.41921730742,0.0,10495.41921730742,0,,10554.274
2020-08-26 00:00:00+00:00,93.71,97.59,,61.41611,2.5107143,0.5027932960893856,-10.0,11193.622079251307,0.0,11183.622079251307,0,,11245.678
2020-08-27 00:00:00+00:00,96.98,96.46,,73.79877,2.7592857,0.5027932960893856,-10.0,11064.010718248166,0.0,11054.010718248166,0,,11115.463
2020-08-28 00:00:00+00:00,97.01,97.62,,70.24564,2.7292857,0.5027932960893856,-10.0,11197.063345960196,0.0,11187.063345960196,0,,11249.135
2020-08-31 00:00:00+00:00,97.74,96.52,,69.81511,2.6514285,0.5027932960893856,-10.0,11070.89194627423,0.0,11060.89194627423,0,,11122.377
2020-09-01 00:00:00+00:00,97.08,99.32,,77.30307,2.4807143,0.5027932960893856,-10.0,11392.053878638437,0.0,11382.053878638437,0,,11445.032
2020-09-02 00:00:00+00:00,100.07,99.92,,78.83817,2.54,0.5027932960893856,-10.0,11460.873845235265,0.0,11450.873845235265,0,,11514.173
