feature,importance
ma21,0.052656278
ma7,0.050925396
macd,0.050479267
sma200,0.049219586
price_to_sma200,0.047744934
atr_ratio,0.047663644
return_1d,0.047332358
volatility_21d,0.046935998
return_21d,0.046227142
rsi_slope,0.04572296
volume_ratio,0.04562534
rsi,0.04547094
return_5d,0.04506879
vix_change_1d,0.04369849
vix_close,0.04361274
Close_FFD,0.043425824
vix_ma5,0.042775523
bollinger_lower,0.042740114
bollinger_upper,0.042123202
ma_spread,0.04145346
atr,0.040972523
stochastic_oscillator,0.03812548
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
