,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,45.25,45.89,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,42.51,43.97,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9581.608
2020-07-29 00:00:00+00:00,43.95,43.42,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9461.757
2020-07-30 00:00:00+00:00,42.75,42.79,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9324.472
2020-07-31 00:00:00+00:00,42.47,43.24,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9422.533
2020-08-03 00:00:00+00:00,43.16,43.18,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9409.457
2020-08-04 00:00:00+00:00,43.05,42.73,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9311.396
2020-08-05 00:00:00+00:00,42.97,42.43,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9246.022
2020-08-06 00:00:00+00:00,42.24,43.16,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9405.099
2020-08-07 00:00:00+00:00,42.67,42.84,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9335.366
2020-08-10 00:00:00+00:00,42.92,44.22,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9636.085
2020-08-11 00:00:00+00:00,45.03,44.8,,,,0.8498884330711411,10000.0,0.0,0.0,10000.0,0,0.0,9762.475
2020-08-12 00:00:00+00:00,45.18,43.57,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9494.442
2020-08-13 00:00:00+00:00,43.16,43.67,,36.511627,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9516.233
2020-08-14 00:00:00+00:00,43.39,44.1,,37.24138,1.4092857,0.99,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,,9609.936
2020-08-17 00:00:00+00:00,44.02,43.3,,40.19715,1.3928572,0.99,-5015.992063492064,14720.531417869559,5000.0,4704.539354377495,0,,9435.606
2020-08-18 00:00:00+00:00,43.37,43.48,,45.817726,1.1942858,0.7527170789226633,-5016.984126984127,14781.725643610462,5000.0,4764.7415166263345,0,,9474.831
2020-08-19 00:00:00+00:00,43.33,43.17,,50.39267,1.1357143,0.99,-5017.976190476191,14676.335948662756,5000.0,4658.359758186565,0,,9407.277
2020-08-20 00:00:00+00:00,42.81,42.53,,52.595627,1.1028571,0.99,-5018.968253968254,14458.757717417762,5000.0,4439.789463449508,0,,9267.813
2020-08-21 00:00:00+00:00,42.26,42.26,,45.27297,1.0657142,0.99,-5019.960317460318,14366.966428297912,5000.0,4347.006110837594,0,,9208.978
2020-08-24 00:00:00+00:00,42.3,43.8,,44.04145,1.055,0.99,-5020.952380952382,14890.514312221727,5000.0,4869.561931269345,0,,9544.5625
2020-08-25 00:00:00+00:00,43.86,43.26,,56.072643,1.12,0.99,-5021.944444444445,14706.932086667566,5000.0,4684.987642223121,0,,9426.889
2020-08-26 00:00:00+00:00,42.96,43.14,,54.585636,1.1364286,0.99,-5022.936507936509,14666.136807793566,5000.0,4643.200299857057,0,,9400.739
2020-08-27 00:00:00+00:00,43.76,44.2,,49.881516,1.1192857,0.99,-5023.9285714285725,15026.501100242182,5000.0,5002.572528813609,0,,9631.727
2020-08-28 00:00:00+00:00,44.18,44.34,,57.407406,1.1621429,0.5487804878048781,-5024.920634920636,15074.09590193436,5000.0,5049.175267013725,0,,9662.234
2020-08-31 00:00:00+00:00,44.14,43.53,,50.75567,1.1014286,0.99,-5025.9126984127,14798.72248142167,5000.0,4772.80978300897,0,,9485.725
2020-09-01 00:00:00+00:00,42.94,42.64,,42.22766,1.035,0.99,-5026.904761904763,14496.15305725143,5000.0,4469.248295346666,0,,9291.783
2020-09-02 00:00:00+00:00,42.44,43.35,,44.061302,0.98,0.5727744852534856,-5027.896825396827,14737.528999825432,5000.0,4709.632174428605,0,,9446.501
2020-09-03 00:00:00+00:00,44.1,43.66,,48.104267,1.0014286,0.99,-5028.8888888888905,14842.918939329284,5000.0,4814.030050440393,0,,9514.054
2020-09-04 00:00:00+00:00,44.02,43.52,,47.35577,1.0514286,0.99,-5029.880952380954,14795.323476941601,5000.0,4765.442524560647,0,,9483.546
2020-09-08 00:00:00+00:00,43.36,43.33,,51.43603,1.05,0.99,-5030.873015873018,14730.73002690841,5000.0,4699.857011035392,0,,9442.143
2020-09-09 00:00:00+00:00,43.35,42.61,,49.022163,1.0678571,0.99,-5031.865079365081,14485.953874633708,5000.0,4454.088795268626,0,,9285.245
2020-09-10 00:00:00+00:00,42.7,41.64,,46.534653,1.0614285,0.99,-5032.857142857145,14156.186593490207,5000.0,4123.329450633062,0,,9073.869
2020-09-11 00:00:00+00:00,41.66,42.08,,44.70868,1.1271429,0.99,-5033.8492063492085,14305.772619662079,5000.0,4271.92341331287,0,,9169.751
2020-09-14 00:00:00+00:00,42.85,43.3,,48.95105,1.1242857,0.99,-5034.841269841272,14720.529803448104,5000.0,4685.688533606832,0,,9435.604
2020-09-15 00:00:00+00:00,43.22,43.21,,46.973366,1.1207143,0.5487804878048781,-5035.833333333336,14689.93269393328,5000.0,4654.099360599945,0,,9415.991
2020-09-16 00:00:00+00:00,43.69,43.33,,49.679897,1.1328571,0.99,-5036.825396825399,14730.729851455788,5000.0,4693.9044546303885,0,,9442.142
2020-09-17 00:00:00+00:00,42.74,43.04,,51.21639,1.1528572,0.99,-5037.817460317463,14632.13962868996,5000.0,4594.322168372497,0,,9378.947
2020-09-18 00:00:00+00:00,42.88,41.95,,41.761364,1.1035714,0.99,-5038.809523809527,14261.576327689674,5000.0,4222.766803880148,0,,9141.423
2020-09-21 00:00:00+00:00,41.05,40.07,,35.043804,1.1607143,0.5487804878048781,-5039.80158730159,13622.439479063656,5000.0,3582.637891762066,0,,8731.747
2020-09-22 00:00:00+00:00,40.27,40.46,,30.905077,1.2457143,0.5178571428571429,-5040.793650793654,13755.02616015635,5000.0,3714.232509362697,0,,8816.732
2020-09-23 00:00:00+00:00,40.63,39.74,,37.266354,1.2228571,0.5487804878048781,-5041.785714285717,13510.251828393233,5000.0,3468.4661141075158,0,,8659.836
2020-09-24 00:00:00+00:00,39.68,39.82,,28.938156,1.2592857,0.5487804878048781,-5042.777777777781,13537.449144399188,5000.0,3494.6713666214073,0,,8677.27
2020-09-25 00:00:00+00:00,39.46,40.0,,26.978416,1.2114285,0.5487804878048781,-5043.769841269845,13598.642435837586,5000.0,3554.8725945677415,0,,8716.493
2020-09-28 00:00:00+00:00,40.7,40.36,,28.997614,1.1971428,0.5487804878048781,-5044.761904761908,13721.031073692742,5000.0,3676.269168930834,0,,8794.942
2020-09-29 00:00:00+00:00,40.39,39.76,,32.63158,1.205,0.99,-5045.753968253972,13517.051030507151,5000.0,3471.2970622531793,0,,8664.195
2020-09-30 00:00:00+00:00,39.96,40.31,,33.096085,1.2121428,0.5487804878048781,-5046.746031746035,13704.033018648694,5000.0,3657.286986902658,0,,8784.048
2020-10-01 00:00:00+00:00,40.34,40.33,,41.697876,1.165,0.5487804878048781,-5047.738095238099,13710.83226179173,5000.0,3663.09416655363,0,,8788.405
2020-10-02 00:00:00+00:00,39.89,41.81,,38.471672,1.1564286,0.5487804878048781,-5048.730158730163,14213.982354469526,5000.0,4165.252195739364,0,,9110.916
2020-10-05 00:00:00+00:00,42.08,42.07,,40.509556,1.1907142,0.5487804878048781,-5049.722222222226,14302.372751245834,5000.0,4252.650529023607,0,,9167.573
2020-10-06 00:00:00+00:00,42.4,41.7,,42.89277,1.1707143,0.5487804878048781,-5050.71428571429,14176.58561191565,5000.0,4125.871326201361,0,,9086.945
2020-10-07 00:00:00+00:00,41.97,42.45,,40.145103,1.1864285,0.5487804878048781,-5051.7063492063535,14431.559759904467,5000.0,4379.853410698113,0,,9250.38
