,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,39.13,39.23,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,39.55,39.07,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,9959.215
2016-09-21 00:00:00+00:00,39.19,39.51,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,10071.374
2016-09-22 00:00:00+00:00,39.68,39.51,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10071.374
2016-09-23 00:00:00+00:00,39.39,39.23,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,10000.001
2016-09-26 00:00:00+00:00,39.0,39.03,,,,0.6576515274120064,10000.0,0.0,0.0,10000.0,0,0.0,9949.02
2016-09-27 00:00:00+00:00,38.9,39.3,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,10017.845
2016-09-28 00:00:00+00:00,39.23,39.44,,,,0.6561287743922474,10000.0,0.0,0.0,10000.0,0,0.0,10053.531
2016-09-29 00:00:00+00:00,39.25,39.12,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9971.961
2016-09-30 00:00:00+00:00,39.25,39.28,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,10012.746
2016-10-03 00:00:00+00:00,39.2,38.99,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9938.823
2016-10-04 00:00:00+00:00,39.04,38.87,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,9908.233
2016-10-05 00:00:00+00:00,39.11,39.15,,,,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,9979.608
2016-10-06 00:00:00+00:00,39.11,38.87,,48.496277,,0.5,10000.0,0.0,0.0,10000.0,0,0.0,9908.234
2016-10-07 00:00:00+00:00,38.84,38.71,,43.877544,0.47285706,0.495049504950495,10000.0,0.0,0.0,10000.0,0,0.0,9867.449
2016-10-10 00:00:00+00:00,38.86,38.62,,41.612904,0.46499988,0.5757575757575758,10000.0,0.0,0.0,10000.0,0,0.0,9844.508
2016-10-11 00:00:00+00:00,38.56,38.01,,42.57425,0.45571437,0.5757575757575758,-10.0,9995.002498750626,0.0,9985.002498750626,1,37.92250061035156,9689.014
2016-10-12 00:00:00+00:00,37.93,38.05,,26.562534,0.47928566,0.6666666666666666,-10.0,10005.521035563763,0.0,9995.521035563763,0,37.92250061035156,9699.211
2016-10-13 00:00:00+00:00,37.86,38.03,,27.469189,0.49285725,0.6666666666666666,9975.26120739043,0.0,0.0,9975.26120739043,-1,0.0,9694.112
2016-10-14 00:00:00+00:00,38.26,38.41,,29.865807,0.49928585,0.6666666666666666,-9.975261207389849,9970.276069355752,0.0,9960.300808148362,1,37.290714263916016,9790.977
2016-10-17 00:00:00+00:00,38.54,38.29,,40.189915,0.5057144,0.5757575757575758,-9.975261207389849,9939.12715763075,0.0,9929.15189642336,0,37.66107177734375,9760.388
2016-10-18 00:00:00+00:00,38.6,38.42,,33.222652,0.4842859,0.5,-9.975261207389849,9972.871295090663,0.0,9962.896033883273,0,37.66107177734375,9793.525
2016-10-19 00:00:00+00:00,38.52,38.35,,33.000015,0.48857144,0.5757575757575758,-9.975261207389849,9954.701370063945,0.0,9944.726108856556,0,37.69356918334961,9775.682
2016-10-20 00:00:00+00:00,38.12,38.09,,36.00001,0.4735715,0.5757575757575758,-9.975261207389849,9887.212366051886,0.0,9877.237104844497,0,37.69356918334961,9709.406
2016-10-21 00:00:00+00:00,37.99,37.93,,29.122849,0.47285733,0.5757575757575758,-9.975261207389849,9845.680361916926,0.0,9835.705100709536,0,37.69356918334961,9668.621
