feature,importance
ma_spread,0.051256057
rsi,0.050471008
bollinger_lower,0.050470926
ma21,0.050228734
price_to_sma200,0.04907836
volume_ratio,0.04881462
rsi_slope,0.048754506
ma7,0.04873037
macd,0.04833779
return_21d,0.04819189
atr,0.045340132
Close_FFD,0.04509481
atr_ratio,0.044395145
bollinger_upper,0.044219844
volatility_21d,0.043912634
return_5d,0.04296973
stochastic_oscillator,0.04260035
return_1d,0.041585755
vix_ma5,0.040863536
vix_change_1d,0.040618762
sma200,0.040566575
vix_close,0.033498406
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
