feature,importance
Close_FFD,0.04880429
stochastic_oscillator,0.04862878
bollinger_lower,0.048338924
vix_change_1d,0.04830243
atr_ratio,0.04793574
return_1d,0.047812253
ma_spread,0.04777172
price_to_sma200,0.04771939
volatility_21d,0.046649005
sma200,0.046300653
atr,0.045479164
return_21d,0.045360435
rsi_slope,0.041336693
ma21,0.040973667
vix_close,0.040909924
volume_ratio,0.039852187
ma7,0.039630555
vix_ma5,0.03937189
return_5d,0.03925267
rsi,0.038998477
bollinger_upper,0.038206495
mean_sentiment_score,0.036482297
macd,0.03588238
positive,0.0
negative,0.0
neutral,0.0
