,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2022-07-21 00:00:00+00:00,104.83,106.33,106.8227,65.15635,2.4071429,0.67547876,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2022-07-22 00:00:00+00:00,106.86,106.74,106.8618,71.727104,2.3521428,0.643374,-10.0,9995.002498750626,0.0,9985.002498750626,1,102.71928405761719,10038.559
2022-07-25 00:00:00+00:00,106.68,105.92,106.8951,68.38488,2.307143,0.6813126,-10.0,9918.218848110735,0.0,9908.218848110735,0,103.21178436279297,9961.44
2022-07-26 00:00:00+00:00,106.22,105.66,106.9188,67.54922,2.13,0.4854542,-10.0,9893.873206461793,0.0,9883.873206461793,0,103.21178436279297,9936.988
2022-07-27 00:00:00+00:00,106.13,109.32,106.9392,63.425255,2.075,0.63469476,-10.0,10236.590627616868,0.0,10226.590627616868,0,103.21178436279297,10281.199
2022-07-28 00:00:00+00:00,109.64,111.79,106.97775,72.72727,2.2792857,0.45019594,-10.0,10467.878341623142,0.0,10457.878341623142,0,103.21178436279297,10513.495
2022-07-29 00:00:00+00:00,111.87,111.87,107.0344,75.881744,2.3378572,0.49401313,-10.0,10475.369295269416,0.0,10465.369295269416,0,104.95214080810547,10521.019
2022-08-01 00:00:00+00:00,110.9,110.35,107.0915,77.95442,2.33,0.4197701,-10.0,10333.037976230999,0.0,10323.037976230999,0,104.95214080810547,10378.067
2022-08-02 00:00:00+00:00,110.04,110.16,107.14055,76.5747,2.2814286,0.5642091,-10.0,10315.24717381292,0.0,10305.24717381292,0,104.95214080810547,10360.199
2022-08-03 00:00:00+00:00,110.71,112.38,107.1829,81.54102,2.23,0.5053039,-10.0,10523.124672675694,0.0,10513.124672675694,0,104.95214080810547,10568.982
2022-08-04 00:00:00+00:00,112.31,112.08,107.2347,84.35476,2.2735715,0.45380485,-10.0,10495.033679414926,0.0,10485.033679414926,0,105.68999481201172,10540.77
2022-08-05 00:00:00+00:00,111.29,112.92,107.2809,81.62393,2.2064285,0.46671996,-10.0,10573.689431643561,0.0,10563.689431643561,0,105.68999481201172,10619.768
2022-08-08 00:00:00+00:00,113.7,114.12,107.32395,83.91463,2.1957142,0.45746312,10660.02727592744,0.0,0.0,10660.02727592744,-1,0.0,10732.625
2022-08-09 00:00:00+00:00,113.93,114.16,107.3726,81.20438,2.0085714,0.4524023,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,10736.386
2022-08-10 00:00:00+00:00,115.94,116.5,107.4194,80.025856,1.9578571,0.38932022,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,10956.455
2022-08-11 00:00:00+00:00,116.73,115.83,107.472,81.100914,2.0142858,0.36179096,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,10893.443
2022-08-12 00:00:00+00:00,116.57,118.92,107.52375,77.36304,2.005,0.372284,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11184.049
2022-08-15 00:00:00+00:00,118.57,121.19,107.58945,84.42796,2.1214285,0.29493076,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11397.536
2022-08-16 00:00:00+00:00,120.28,121.29,107.6708,87.1709,2.2257142,0.36293367,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11406.94
2022-08-17 00:00:00+00:00,120.41,121.62,107.7491,84.535484,2.0064285,0.36380714,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11437.976
2022-08-18 00:00:00+00:00,121.69,122.03,107.82675,82.35681,1.8921429,0.63010424,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11476.533
2022-08-19 00:00:00+00:00,121.13,121.54,107.91355,82.73196,1.8907143,0.6394775,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11430.45
2022-08-22 00:00:00+00:00,120.32,119.28,107.9901,88.61284,1.8378571,0.6771788,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11217.904
2022-08-23 00:00:00+00:00,119.26,118.4,108.0551,77.53623,1.925,0.5384669,10660.02727592744,0.0,0.0,10660.02727592744,0,0.0,11135.143
