feature,importance
sma200,0.049692534
macd,0.0476762
rsi,0.046983954
Close_FFD,0.046926916
ma_spread,0.046684418
bollinger_lower,0.046179973
vix_ma5,0.045930855
vix_close,0.045710426
return_21d,0.045391373
stochastic_oscillator,0.045060053
return_5d,0.044802785
return_1d,0.04390927
ma21,0.043782398
ma7,0.043184925
mean_sentiment_score,0.043146916
atr,0.042561013
volatility_21d,0.04255533
bollinger_upper,0.04236539
volume_ratio,0.04027945
rsi_slope,0.03825029
atr_ratio,0.037802998
price_to_sma200,0.036384627
vix_change_1d,0.034737945
positive,0.0
negative,0.0
neutral,0.0
