feature,importance
atr,0.051753394
bollinger_upper,0.04936863
rsi,0.04865355
vix_close,0.048081025
ma21,0.046576574
volatility_21d,0.04633916
volume_ratio,0.046251073
vix_change_1d,0.045564067
price_to_sma200,0.04547584
atr_ratio,0.044796403
stochastic_oscillator,0.04418681
rsi_slope,0.04402139
return_5d,0.043617733
vix_ma5,0.043567844
sma200,0.043122087
ma_spread,0.043060318
ma7,0.042982355
bollinger_lower,0.042318493
return_1d,0.040806085
return_21d,0.03901503
Close_FFD,0.037521105
macd,0.03557981
mean_sentiment_score,0.027341226
positive,0.0
negative,0.0
neutral,0.0
