,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-06 00:00:00+00:00,80.24,80.55,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-07 00:00:00+00:00,80.45,81.31,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10094.351
2016-09-08 00:00:00+00:00,80.75,80.86,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10038.484
2016-09-09 00:00:00+00:00,80.29,78.91,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9796.398
2016-09-12 00:00:00+00:00,78.61,80.42,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9983.859
2016-09-13 00:00:00+00:00,79.58,79.16,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9827.435
2016-09-14 00:00:00+00:00,79.12,78.63,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9761.637
2016-09-15 00:00:00+00:00,78.86,80.03,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9935.442
2016-09-16 00:00:00+00:00,79.84,80.06,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9939.166
2016-09-19 00:00:00+00:00,80.81,80.4,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9981.376
2016-09-20 00:00:00+00:00,80.78,79.77,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9903.163
2016-09-21 00:00:00+00:00,80.18,81.66,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10137.801
2016-09-22 00:00:00+00:00,80.81,80.64,,,,0.6627823260789073,10000.0,0.0,0.0,10000.0,0,0.0,10011.171
2016-09-23 00:00:00+00:00,82.44,82.29,,50.382313,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10216.014
2016-09-26 00:00:00+00:00,81.66,81.98,,56.48285,1.764286,0.49280575539568366,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,,10177.527
2016-09-27 00:00:00+00:00,81.9,80.76,,55.207573,1.7628572,0.5,-5015.992063492064,14769.390247751035,5000.0,4753.398184258971,0,,10026.068
2016-09-28 00:00:00+00:00,81.3,81.66,,48.062035,1.8014287,0.99,-5016.984126984127,14933.98271385754,5000.0,4916.998586873413,0,,10137.801
2016-09-29 00:00:00+00:00,81.31,79.72,,52.732246,1.8135719,0.49845233639677855,-5017.976190476191,14579.195481688555,5000.0,4561.219291212365,0,,9896.957
2016-09-30 00:00:00+00:00,80.25,81.26,,52.768272,1.8400007,0.99,-5018.968253968254,14860.830941280501,5000.0,4841.862687312247,0,,10088.144
2016-10-03 00:00:00+00:00,81.39,81.09,,52.86495,1.7964293,0.5,-5019.960317460318,14829.740254599294,5000.0,4809.779937138976,0,,10067.037
2016-10-04 00:00:00+00:00,81.29,80.83,,57.11123,1.6892864,0.5,-5020.952380952382,14782.19235465121,5000.0,4761.239973698828,0,,10034.76
2016-10-05 00:00:00+00:00,81.35,79.29,,58.27068,1.6857147,0.99,-5021.944444444445,14500.557196875183,5000.0,4478.612752430738,0,,9843.575
