feature,importance
ma21,0.05067547
bollinger_upper,0.049467627
macd,0.048163105
sma200,0.04730614
vix_ma5,0.046124056
return_21d,0.04582831
vix_change_1d,0.045353495
rsi_slope,0.044960637
ma_spread,0.044802804
return_5d,0.04438464
volume_ratio,0.042466428
rsi,0.042309433
Close_FFD,0.042009715
bollinger_lower,0.041416995
stochastic_oscillator,0.041335594
return_1d,0.04122243
atr_ratio,0.040818665
ma7,0.040595695
atr,0.0400851
vix_close,0.03975766
volatility_21d,0.038230903
price_to_sma200,0.037497584
mean_sentiment_score,0.025340872
neutral,0.01984669
negative,0.0
positive,0.0
