,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-12 00:00:00+00:00,74.07,75.24,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-13 00:00:00+00:00,75.11,74.41,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9889.6875
2016-09-14 00:00:00+00:00,74.54,74.57,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9910.952
2016-09-15 00:00:00+00:00,74.44,75.33,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10011.963
2016-09-16 00:00:00+00:00,75.02,76.29,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10139.555
2016-09-19 00:00:00+00:00,76.34,76.88,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10217.97
2016-09-20 00:00:00+00:00,77.17,76.83,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10211.324
2016-09-21 00:00:00+00:00,76.75,78.31,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10408.028
2016-09-22 00:00:00+00:00,78.8,79.09,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10511.696
2016-09-23 00:00:00+00:00,79.06,79.39,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10551.569
2016-09-26 00:00:00+00:00,79.5,79.38,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10550.24
2016-09-27 00:00:00+00:00,79.74,78.51,,,,0.8324509132253692,10000.0,0.0,0.0,10000.0,0,0.0,10434.611
2016-09-28 00:00:00+00:00,78.69,77.87,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10349.55
2016-09-29 00:00:00+00:00,77.66,76.76,,67.69861,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10202.022
2016-09-30 00:00:00+00:00,77.16,75.99,,58.899345,1.2264284,0.5241935483870969,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,,10099.683
2016-10-03 00:00:00+00:00,75.81,74.98,,54.027935,1.2564288,0.5241935483870969,-5015.992063492064,14793.235680152631,5000.0,4777.243616660568,0,,9965.446
2016-10-04 00:00:00+00:00,74.82,73.0,,53.003166,1.274286,0.5241935483870969,-5016.984126984127,14402.589773464193,5000.0,4385.605646480066,0,,9702.288
2016-10-05 00:00:00+00:00,73.16,72.81,,43.059235,1.3642862,0.5241935483870969,-5017.976190476191,14365.10334617865,5000.0,4347.127155702459,0,,9677.035
2016-10-06 00:00:00+00:00,72.55,72.97,,38.268127,1.3835716,0.5241935483870969,-5018.968253968254,14396.670718868309,5000.0,4377.702464900054,0,,9698.301
2016-10-07 00:00:00+00:00,73.46,72.69,,33.299793,1.3428568,0.5241935483870969,-5019.960317460318,14341.428271559495,5000.0,4321.4679540991765,0,,9661.086
2016-10-10 00:00:00+00:00,73.21,73.78,,28.245089,1.4057138,0.5241935483870969,-5020.952380952382,14556.479395586619,5000.0,4535.527014634237,0,,9805.955
2016-10-11 00:00:00+00:00,73.53,72.9,,35.707573,1.4464281,0.5241935483870969,-5021.944444444445,14382.859802060932,5000.0,4360.915357616486,0,,9688.997
2016-10-12 00:00:00+00:00,72.94,73.61,,23.138052,1.3999999,0.5241935483870969,-5022.936507936509,14522.940211805717,5000.0,4500.003703869208,0,,9783.361
2016-10-13 00:00:00+00:00,73.64,74.31,,22.600021,1.4042854,0.5241935483870969,-5023.9285714285725,14661.047033173001,5000.0,4637.118461744429,0,,9876.397
2016-10-14 00:00:00+00:00,73.97,73.66,,25.5769,1.4207143,0.5241935483870969,-5024.920634920636,14532.80625036582,5000.0,4507.885615445184,0,,9790.008
2016-10-17 00:00:00+00:00,73.87,74.24,,24.094198,1.4335719,0.5241935483870969,-5025.9126984127,14647.23600863357,5000.0,4621.323310220871,0,,9867.094
2016-10-18 00:00:00+00:00,74.65,75.12,,30.139486,1.3657144,0.5241935483870969,-5026.904761904763,14820.856383466018,5000.0,4793.951621561255,0,,9984.053
2016-10-19 00:00:00+00:00,75.12,74.96,,37.488613,1.3585712,0.5241935483870969,-5027.896825396827,14789.28837463409,5000.0,4761.3915492372635,0,,9962.787
