feature,importance
sma200,0.054225814
Close_FFD,0.049412232
return_5d,0.04904326
macd,0.04475276
ma_spread,0.04467046
ma21,0.04382202
atr_ratio,0.043582406
rsi,0.042411137
atr,0.042337473
price_to_sma200,0.041985642
stochastic_oscillator,0.041688126
vix_ma5,0.04161964
volatility_21d,0.041480213
volume_ratio,0.041145246
bollinger_lower,0.04101977
return_21d,0.040511634
ma7,0.040392485
bollinger_upper,0.0398899
rsi_slope,0.039565917
vix_change_1d,0.038271453
return_1d,0.037853204
vix_close,0.036268074
neutral,0.03603754
mean_sentiment_score,0.028013574
negative,0.0
positive,0.0
