feature,importance
bollinger_upper,0.051558472
atr_ratio,0.04909554
bollinger_lower,0.048314124
sma200,0.04661633
ma21,0.0457382
stochastic_oscillator,0.045471516
rsi,0.045242723
return_1d,0.045217868
vix_ma5,0.04517124
atr,0.045117144
price_to_sma200,0.045102034
Close_FFD,0.04498365
rsi_slope,0.043945804
macd,0.043889012
ma7,0.04314383
vix_close,0.0426547
volatility_21d,0.042530097
vix_change_1d,0.04207353
ma_spread,0.041948877
return_21d,0.041699935
return_5d,0.04128832
volume_ratio,0.034667257
positive,0.024529856
mean_sentiment_score,0.0
negative,0.0
neutral,0.0
