feature,importance
bollinger_lower,0.059075586
ma7,0.055094693
ma_spread,0.048651412
vix_ma5,0.048395563
bollinger_upper,0.04825193
volatility_21d,0.047699895
volume_ratio,0.047316328
atr_ratio,0.046126496
vix_close,0.045469444
vix_change_1d,0.04533074
sma200,0.044975933
stochastic_oscillator,0.043566953
return_21d,0.043411586
ma21,0.041504692
Close_FFD,0.040195834
rsi,0.039999176
return_1d,0.039830066
atr,0.039594576
price_to_sma200,0.038417213
rsi_slope,0.038191557
macd,0.037774682
return_5d,0.03420955
mean_sentiment_score,0.026916124
positive,0.0
negative,0.0
neutral,0.0
