feature,importance
macd,0.05259623
price_to_sma200,0.05015609
vix_ma5,0.050087802
stochastic_oscillator,0.04794857
vix_close,0.047554526
ma21,0.04752086
atr_ratio,0.04721997
return_5d,0.046757836
bollinger_upper,0.0452233
rsi_slope,0.044374663
return_1d,0.04325728
return_21d,0.04227113
volume_ratio,0.04186102
volatility_21d,0.041544456
bollinger_lower,0.04090376
Close_FFD,0.040275026
sma200,0.040116698
atr,0.039852127
ma_spread,0.039817557
rsi,0.03965349
vix_change_1d,0.039057456
ma7,0.037916366
neutral,0.034033798
mean_sentiment_score,0.0
negative,0.0
positive,0.0
