,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,39.87,40.63,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,40.49,39.52,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,9726.803
2020-07-29 00:00:00+00:00,39.72,40.69,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,10014.768
2020-07-30 00:00:00+00:00,39.98,39.69,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,9768.644
2020-07-31 00:00:00+00:00,39.69,39.54,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,9731.726
2020-08-03 00:00:00+00:00,40.03,40.77,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,10034.459
2020-08-04 00:00:00+00:00,40.93,41.03,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,10098.45
2020-08-05 00:00:00+00:00,41.39,42.32,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,10415.95
2020-08-06 00:00:00+00:00,43.52,44.93,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,11058.332
2020-08-07 00:00:00+00:00,45.11,45.86,,,,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,11287.227
2020-08-10 00:00:00+00:00,45.97,47.69,,,,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,11737.632
2020-08-11 00:00:00+00:00,48.66,49.28,,,,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12128.968
2020-08-12 00:00:00+00:00,49.81,48.97,,,,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12052.671
2020-08-13 00:00:00+00:00,48.42,48.79,,80.934715,,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12008.369
2020-08-14 00:00:00+00:00,48.62,48.9,,79.868225,1.5764285,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12035.442
2020-08-17 00:00:00+00:00,49.59,50.24,,80.029045,1.5492858,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12365.248
2020-08-18 00:00:00+00:00,49.58,49.77,,88.28571,1.5892857,0.4626865671641791,10000.0,0.0,0.0,10000.0,0,0.0,12249.57
2020-08-19 00:00:00+00:00,49.92,49.31,,84.13534,1.6014286,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12136.354
2020-08-20 00:00:00+00:00,48.61,49.23,,87.69592,1.5785714,0.875,10000.0,0.0,0.0,10000.0,0,0.0,12116.662
2020-08-21 00:00:00+00:00,49.01,49.07,,88.17967,1.5835714,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12077.282
2020-08-24 00:00:00+00:00,49.42,50.26,,85.71429,1.5285715,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12370.169
2020-08-25 00:00:00+00:00,50.69,50.61,,86.77291,1.5864285,0.4626865671641791,10000.0,0.0,0.0,10000.0,0,0.0,12456.313
2020-08-26 00:00:00+00:00,50.14,50.89,,85.70198,1.5371429,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12525.229
2020-08-27 00:00:00+00:00,50.51,50.44,,82.11207,1.2678572,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12414.474
2020-08-28 00:00:00+00:00,50.65,50.82,,76.02273,1.2235714,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12508.0
2020-08-31 00:00:00+00:00,50.59,50.76,,71.29252,1.1364286,0.4626865671641791,10000.0,0.0,0.0,10000.0,0,0.0,12493.232
2020-09-01 00:00:00+00:00,50.43,52.0,,62.714775,1.0678571,0.5,10000.0,0.0,0.0,10000.0,0,0.0,12798.426
2020-09-02 00:00:00+00:00,51.82,52.76,,72.44444,1.055,0.6547619047619048,10000.0,0.0,0.0,10000.0,0,0.0,12985.479
2020-09-03 00:00:00+00:00,52.53,51.01,,77.08049,1.0892857,0.875,-10.0,9995.002498750626,0.0,9985.002498750626,1,51.17749786376953,12554.763
2020-09-04 00:00:00+00:00,51.61,51.42,,61.76143,1.2171428,0.875,-10.0,10075.339193882673,0.0,10065.339193882673,0,51.17749786376953,12655.673
2020-09-08 00:00:00+00:00,50.64,50.8,,57.33831,1.2021428,0.875,9928.924577278336,0.0,0.0,9928.924577278336,-1,0.0,12503.077
2020-09-09 00:00:00+00:00,51.63,51.66,,56.288155,1.2071428,0.875,-4979.355675505085,14885.94389397052,4964.462288639168,4942.125929826267,1,48.99678421020508,12714.743
2020-09-10 00:00:00+00:00,51.75,50.65,,63.678696,1.2492857,0.875,-4980.340687863942,14594.910890001483,4964.462288639168,4650.107913498374,0,49.84928512573242,12466.159
2020-09-11 00:00:00+00:00,50.95,51.0,,57.457985,1.2685714,0.875,-4981.325700222798,14695.762974715637,4964.462288639168,4749.974985853671,0,49.84928512573242,12552.301
2020-09-14 00:00:00+00:00,51.46,51.7,,59.93821,1.2957143,0.6547619047619048,-4982.310712581655,14897.469951294208,4964.462288639168,4950.696950073385,0,49.84928512573242,12724.588
2020-09-15 00:00:00+00:00,51.59,51.42,,57.80911,1.2871429,0.875,-4983.295724940512,14816.786498827816,4964.462288639168,4869.028485248136,0,49.84928512573242,12655.673
2020-09-16 00:00:00+00:00,51.65,51.95,,54.42623,1.2942857,0.875,-4984.280737299368,14969.507740282257,4964.462288639168,5020.764714343721,0,49.84928512573242,12786.119
2020-09-17 00:00:00+00:00,51.24,52.02,,55.638298,1.2921429,0.875,-4985.265749658225,14989.677993319281,4964.462288639168,5039.949955021888,0,50.00857162475586,12803.347
2020-09-18 00:00:00+00:00,52.01,51.33,,58.758316,1.3557143,0.6547619047619048,-4986.250762017082,14790.853111274291,4964.462288639168,4840.140060618041,0,50.081787109375,12633.521
2020-09-21 00:00:00+00:00,49.29,48.57,,52.73312,1.4064286,0.875,8987.323278595175,0.0,0.0,8987.323278595175,-1,0.0,11954.221
2020-09-22 00:00:00+00:00,48.66,49.59,,40.897755,1.5492858,0.6547619047619048,-4507.142624215479,13474.247793995764,4493.661639297587,4473.443530482698,1,46.460357666015625,12205.267
2020-09-23 00:00:00+00:00,50.0,50.7,,39.796783,1.5085714,0.4626865671641791,-4508.034223747086,13775.849571732333,4493.661639297587,4774.1537086876615,0,47.26607131958008,12478.465
2020-09-24 00:00:00+00:00,50.55,50.87,,41.529606,1.5807143,0.875,-4508.925823278692,13822.039991037194,4493.661639297587,4819.452528460915,0,48.4371452331543,12520.305
2020-09-25 00:00:00+00:00,50.16,51.15,,49.338375,1.5478572,0.6547619047619048,-4509.817422810299,13898.119961934173,4493.661639297587,4894.640899826287,0,48.49892807006836,12589.22
2020-09-28 00:00:00+00:00,51.72,52.3,,48.708134,1.5307143,0.6547619047619048,-4510.709022341905,14210.589614207922,4493.661639297587,5206.21895256843,0,48.828216552734375,12872.262
2020-09-29 00:00:00+00:00,51.97,52.2,,56.8306,1.5221429,0.4626865671641791,-4511.600621873512,14183.418998198415,4493.661639297587,5178.156737027317,0,50.003929138183594,12847.65
2020-09-30 00:00:00+00:00,52.22,52.39,,52.64188,1.4735714,0.6547619047619048,9701.199263677905,0.0,0.0,9701.199263677905,-1,0.0,12894.413
2020-10-01 00:00:00+00:00,53.08,53.01,,59.255318,1.4957143,0.875,-9.701199263678063,9696.351088133839,0.0,9686.64988887016,1,50.17964172363281,13047.01
2020-10-02 00:00:00+00:00,52.23,54.67,,60.392967,1.51,0.875,-9.701199263678063,9999.990866585724,0.0,9990.289667322046,0,50.76642608642578,13455.574
2020-10-05 00:00:00+00:00,55.11,56.33,,63.9699,1.6414286,0.6547619047619048,-9.701199263678063,10303.630954858985,0.0,10293.929755595307,0,52.404998779296875,13864.141
2020-10-06 00:00:00+00:00,56.56,56.18,,70.4413,1.75,0.875,-9.701199263678063,10276.193445766936,0.0,10266.492246503258,0,53.86785888671875,13827.222
2020-10-07 00:00:00+00:00,56.85,57.82,,68.18573,1.7821429,0.875,10550.609098908411,0.0,0.0,10550.609098908411,-1,0.0,14230.864
2020-10-08 00:00:00+00:00,57.9,58.38,,71.969696,1.8014286,0.6547619047619048,-5291.130463102569,15818.004646039599,5275.304549454206,5251.569633482824,1,55.146785736083984,14368.693
2020-10-09 00:00:00+00:00,58.75,58.63,,76.97016,1.7935715,0.6547619047619048,-5292.177150513175,15885.741076552866,5275.304549454206,5318.259376585485,0,55.6778564453125,14430.224
2020-10-12 00:00:00+00:00,59.28,60.7,,97.632576,1.6464286,0.4626865671641791,-5293.223837923781,16446.604577255435,5275.304549454206,5878.076189877449,0,55.93964385986328,14939.698
2020-10-13 00:00:00+00:00,60.23,59.77,,97.84669,1.7278571,0.4626865671641791,-5294.270525334387,16194.621959080026,5275.304549454206,5625.046884291434,0,58.2303581237793,14710.803
2020-10-14 00:00:00+00:00,59.83,60.2,,89.67629,1.6257143,0.6547619047619048,-5295.3172127449925,16311.130614059552,5275.304549454206,5740.508851860353,0,58.2303581237793,14816.637
2020-10-15 00:00:00+00:00,59.23,61.43,,89.9059,1.6164286,0.875,-5296.3639001555985,16644.397615163518,5275.304549454206,6072.729165553714,0,58.2303581237793,15119.369
2020-10-16 00:00:00+00:00,61.41,61.42,,90.66456,1.7107143,0.4626865671641791,-5297.410587566204,16641.687243294633,5275.304549454206,6068.972106274223,0,59.00535583496094,15116.907
2020-10-19 00:00:00+00:00,61.83,61.25,,89.652176,1.66,0.6547619047619048,-5298.45727497681,16595.626359961567,5275.304549454206,6021.864535530551,0,59.00535583496094,15075.067
2020-10-20 00:00:00+00:00,61.64,62.48,,89.109764,1.7971429,0.8462235677012309,-5299.503962387416,16928.89374231154,5275.304549454206,6354.0852304699165,0,59.00535583496094,15377.799
2020-10-21 00:00:00+00:00,62.0,60.92,,90.00793,1.8385714,0.5,-5300.550649798022,16506.21264818413,5275.304549454206,5930.357448931902,0,59.78428649902344,14993.847
2020-10-22 00:00:00+00:00,61.12,60.52,,79.188194,1.8942857,0.875,-5301.597337208628,16397.834036804346,5275.304549454206,5820.9321501415125,0,59.78428649902344,14895.397
2020-10-23 00:00:00+00:00,60.86,61.64,,73.799835,1.755,0.6547619047619048,-5302.644024619234,16701.297084730963,5275.304549454206,6123.348510657523,0,59.78428649902344,15171.056
2020-10-26 00:00:00+00:00,60.66,60.53,,72.59574,1.6771429,0.6547619047619048,-5303.69071202984,16400.543218503335,5275.304549454206,5821.547957019289,0,59.78428649902344,14897.857
2020-10-27 00:00:00+00:00,60.95,60.18,,67.11251,1.7064285,0.6547619047619048,-5304.737399440446,16305.711233409562,5275.304549454206,5725.66928451491,0,59.78428649902344,14811.715
2020-10-28 00:00:00+00:00,58.85,60.31,,60.33275,1.6664286,0.875,11010.639203913357,0.0,0.0,11010.639203913357,-1,0.0,14843.711
2020-10-29 00:00:00+00:00,59.12,62.09,,58.78071,1.7442857,0.875,-5521.835560762549,16507.70495339334,5505.3196019566785,5480.549790674111,1,57.810359954833984,15281.811
2020-10-30 00:00:00+00:00,61.91,61.79,,63.81789,1.9828571,0.875,-5522.927886080398,16427.94514229405,5505.3196019566785,5399.6976542569755,0,59.47357177734375,15207.974
2020-11-02 00:00:00+00:00,62.84,65.78,,55.069767,1.9792857,0.875,-5524.020211398247,17488.755491349355,5505.3196019566785,6459.41567799443,0,59.47357177734375,16190.007
2020-11-03 00:00:00+00:00,66.36,66.61,,71.7596,2.222143,0.875,12157.748898096059,0.0,0.0,12157.748898096059,-1,0.0,16394.29
2020-11-04 00:00:00+00:00,65.28,62.94,,72.55454,2.262143,0.875,-6097.1110723951715,18227.509592347913,6078.874449048028,6051.524070904714,1,63.27678680419922,15491.016
2020-11-05 00:00:00+00:00,64.72,63.81,,54.534534,2.4671428,0.875,-6098.3171982779195,18479.462528968805,6078.874449048028,6302.270881642857,0,63.27678680419922,15705.144
2020-11-06 00:00:00+00:00,63.83,64.46,,56.824673,2.6042857,0.875,-6099.5233241606675,18667.702350534,6078.874449048028,6489.304577325305,0,63.27678680419922,15865.122
