,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,40.24,40.01,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,40.3,39.69,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,9920.0205
2016-09-21 00:00:00+00:00,39.86,40.29,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10069.983
2016-09-22 00:00:00+00:00,40.42,40.49,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10119.97
2016-09-23 00:00:00+00:00,39.6,40.07,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10014.995
2016-09-26 00:00:00+00:00,39.38,40.34,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10082.479
2016-09-27 00:00:00+00:00,40.04,41.06,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10262.435
2016-09-28 00:00:00+00:00,41.15,40.97,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10239.939
2016-09-29 00:00:00+00:00,40.91,40.39,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10094.976
2016-09-30 00:00:00+00:00,40.29,40.97,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10239.939
2016-10-03 00:00:00+00:00,40.87,40.59,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10144.963
2016-10-04 00:00:00+00:00,41.3,40.78,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10192.45
2016-10-05 00:00:00+00:00,40.95,40.44,,,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10107.472
2016-10-06 00:00:00+00:00,40.32,40.18,,54.584213,,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,10042.488
2016-10-07 00:00:00+00:00,40.42,39.88,,51.71719,0.86107093,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,9967.508
2016-10-10 00:00:00+00:00,40.13,39.86,,48.761932,0.8674995,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,9962.509
2016-10-11 00:00:00+00:00,40.03,39.19,,51.71719,0.86392784,0.48055555555555557,10000.0,0.0,0.0,10000.0,0,0.0,9795.05
