feature,importance
rsi_slope,0.05513198
bollinger_lower,0.050353464
vix_ma5,0.048093107
price_to_sma200,0.047981694
stochastic_oscillator,0.047738824
sma200,0.04737921
return_5d,0.045811698
volume_ratio,0.04572292
bollinger_upper,0.044635855
ma7,0.043769114
macd,0.043620676
atr_ratio,0.043252233
vix_change_1d,0.041868012
vix_close,0.041841123
return_21d,0.041214462
ma_spread,0.040734287
rsi,0.040444583
atr,0.04038999
neutral,0.03964602
ma21,0.039035674
return_1d,0.038471367
mean_sentiment_score,0.037030395
volatility_21d,0.035833344
positive,0.0
negative,0.0
