feature,importance
volatility_21d,0.05402419
price_to_sma200,0.051936764
atr,0.05170389
stochastic_oscillator,0.050607394
return_5d,0.05032529
bollinger_upper,0.049024247
mean_sentiment_score,0.048664108
bollinger_lower,0.048251394
vix_close,0.046691477
rsi,0.045953076
return_1d,0.04521907
return_21d,0.044423528
ma21,0.04384893
atr_ratio,0.043722935
ma7,0.04257849
volume_ratio,0.041901957
rsi_slope,0.041280054
vix_ma5,0.0405887
macd,0.040369976
vix_change_1d,0.039974704
ma_spread,0.039952267
Close_FFD,0.038957566
sma200,0.0
positive,0.0
negative,0.0
neutral,0.0
