feature,importance
return_1d,0.053456053
vix_close,0.050752703
price_to_sma200,0.049523022
macd,0.049523
bollinger_upper,0.049458902
vix_change_1d,0.04829143
atr,0.04618585
return_5d,0.04508659
bollinger_lower,0.044535346
Close_FFD,0.044059373
rsi_slope,0.043910604
atr_ratio,0.04332221
volume_ratio,0.04308463
rsi,0.042953458
vix_ma5,0.04271833
return_21d,0.04245741
ma_spread,0.04165544
sma200,0.040866334
stochastic_oscillator,0.040334534
ma7,0.03779518
volatility_21d,0.037327435
ma21,0.034553934
mean_sentiment_score,0.02814814
positive,0.0
negative,0.0
neutral,0.0
