feature,importance
volatility_21d,0.054305907
vix_close,0.051141895
Close_FFD,0.049561393
macd,0.04667898
return_1d,0.04651536
sma200,0.046397187
price_to_sma200,0.045979057
return_5d,0.045852076
stochastic_oscillator,0.045423836
bollinger_lower,0.04372947
rsi_slope,0.043661665
vix_ma5,0.043112233
atr_ratio,0.04206136
volume_ratio,0.040799566
vix_change_1d,0.040779587
ma_spread,0.04022533
bollinger_upper,0.040197298
rsi,0.0401635
ma7,0.040094636
return_21d,0.039009783
ma21,0.039004594
atr,0.038993414
mean_sentiment_score,0.036311816
positive,0.0
negative,0.0
neutral,0.0
