feature,importance
rsi_slope,0.051296916
volatility_21d,0.049456634
macd,0.04903224
atr_ratio,0.04672491
ma21,0.04658767
atr,0.046431098
bollinger_lower,0.045977026
bollinger_upper,0.045772094
price_to_sma200,0.045613214
vix_change_1d,0.045007776
volume_ratio,0.044274617
return_21d,0.04326059
vix_close,0.04281935
sma200,0.042651724
ma_spread,0.042372182
return_1d,0.04200001
vix_ma5,0.040743433
rsi,0.04061744
ma7,0.0401997
return_5d,0.03872256
mean_sentiment_score,0.03759687
stochastic_oscillator,0.037261076
Close_FFD,0.035580922
positive,0.0
negative,0.0
neutral,0.0
