feature,importance
sma200,0.047023464
Close_FFD,0.046729572
bollinger_lower,0.046585146
volume_ratio,0.04622442
macd,0.046148296
return_21d,0.04593892
rsi_slope,0.045608614
atr_ratio,0.04427691
atr,0.043749027
ma21,0.043288186
volatility_21d,0.042436697
price_to_sma200,0.04233953
bollinger_upper,0.04153209
return_1d,0.04023685
return_5d,0.039892964
vix_change_1d,0.039099522
stochastic_oscillator,0.039090976
ma7,0.038964394
vix_ma5,0.038827784
vix_close,0.03783645
rsi,0.037221976
neutral,0.03684234
ma_spread,0.03580918
mean_sentiment_score,0.034296714
negative,0.0
positive,0.0
